***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,30.77,,,,,,System Temp (C):,27.93,,,,,,,
Humidity (%):,51.66,,,,,,Humidity (%):,52.39,,,,,,,
Lamp ADC:,3079,3079,830,849,,,Lamp ADC:,3079,3079,830,849,,,,
Data Date-Time:,2025/11/05T15:50:11,,,,,,Data Date-Time:,2025/11/05T15:47:29,,,,,,,
Total Measurement Time in sec:,6.4817466,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.2,Revision:,1227,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 39min 5sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,-0.000133438229126888,87862,87889
905.577788882674,-0.0004807253376302,95709,95815
909.450125041225,0.000293416738793062,103644,103574
913.318108349663,0.00138244421015131,113274,112914
917.18173880799,0.00107572365256406,124905,124596
921.041016416205,0.00275826754966897,139472,138589
926.179948793651,0.00467034814263034,164824,163061
930.029069751605,0.00443312745600275,186988,185089
933.873837859447,0.00313719079005204,208819,207316
937.714253117177,0.00215243316385197,228160,227032
941.550315524795,0.00119963552465642,244340,243666
945.382025082302,0.000318362532480095,257919,257730
949.209381789697,-0.000280217011921073,269587,269761
954.305752966049,-0.000764700092457887,283714,284214
958.122953023182,-0.00110210001396942,293203,293948
961.935800230204,-0.00115441179807642,302442,303247
965.744294587114,-0.00156592471510787,311446,312571
969.548436093912,-0.000860017514033803,320347,320982
973.348224750598,-0.00100959016977582,328697,329462
977.143660557173,-0.000752860941696429,337170,337755
982.197470532431,-0.00136187541922871,347687,348779
985.982749688744,-0.00103142661120382,355375,356220
989.763675994946,-0.00102291281152359,362577,363432
993.540249451036,-0.00115811461122279,369633,370620
997.312470057013,-0.00137628404655742,376177,377371
1001.08033781288,-0.00151515503961228,382275,383611
1004.84385271863,-0.0014934875929842,388121,389458
1009.8551014928,-0.00160392174233378,395406,396869
1013.60845974829,-0.00180739485526577,400206,401875
1017.35746515367,-0.00177034974310913,404436,406088
1021.10211770894,-0.00185869459721493,408023,409773
1024.8424174141,-0.00182803022499909,411563,413299
1028.57836426914,-0.00217780493120076,414348,416431
1032.30995827408,-0.00210781564572801,416425,418451
1037.27864584715,-0.00220840105753991,418597,420731
1041.00008320182,-0.00185057760829427,420823,422620
1044.71716770638,-0.00198398545494694,422168,424101
1048.42989936083,-0.0020204916138032,423744,425720
1052.13827816517,-0.00202065132339585,424997,426979
1055.8423041194,-0.00203931175018163,427048,429058
1059.54197722351,-0.00175927321988342,429160,430902
1064.46810359549,-0.00208918534814901,430309,432384
1068.15762004934,-0.00218213073254914,430002,432168
1071.84278365308,-0.00195845261728081,428127,430062
1075.52359440671,-0.00180176488001913,425513,427282
1079.20005231022,-0.00211611159645663,423592,425661
1082.87215736363,-0.00196239866616529,422848,424763
1086.53990956692,-0.00174005441199068,423448,425148
1091.42347473781,-0.00198470708835823,424634,426579
1095.08107029084,-0.00177522849705257,427004,428753
1098.73431299376,-0.00184456941156381,429245,431072
