***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.64,,,,,,System Temp (C):,41.57,,,,,,,
Humidity (%):,24.46,,,,,,Humidity (%):,24.56,,,,,,,
Lamp Indicator:,1122,,,,,,Lamp Indicator:,1127,,,,,,,
Data Date-Time:,2023/11/10T14:23:04,,,,,,Data Date-Time:,2023/11/10T14:20:57,,,,,,,
Total Measurement Time in sec:,6.8094615,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 23sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.218310090279485,86742,52471
905.716563509274,0.22111842243101,94273,56659
909.614561387966,0.218231544203265,102068,61753
913.508288908168,0.218096806353576,110873,67101
917.397746069878,0.215190823716493,121910,74276
921.282932873098,0.214837947652527,135431,82581
925.163849317827,0.21449093951607,151993,92754
929.040495404065,0.21222483429875,170436,104553
932.912871131812,0.211946734629962,189806,116510
938.069395988934,0.209318025504526,213892,132092
941.931807546869,0.21067083027533,230143,141686
945.789948746314,0.208335822090224,244380,151262
949.643819587268,0.208385050322444,256922,159007
953.493420069731,0.207018845293158,268735,166842
957.338750193702,0.205492912566308,279885,174376
961.179809959184,0.20572081957234,290981,181194
965.016599366174,0.205421845340315,301220,187699
968.849118414673,0.205127975880621,311349,194142
973.952501032798,0.204137651518386,324458,202778
977.775055911486,0.203528843809653,334343,209249
981.593340431682,0.203211514402682,342882,214750
985.407354593388,0.202213017284061,350770,220196
989.217098396603,0.201940356286147,358072,224921
993.022571841327,0.201691830039396,364529,229108
996.823774927561,0.201501409858901,370058,232685
1000.6207076553,0.200849217036049,375626,236541
1004.41337002455,0.200641679320762,380140,239498
1008.20176203532,0.200427647871249,383619,241809
1013.24630860312,0.199755258028035,387117,244392
1017.02473644407,0.199228096742952,389030,245898
1020.79889392653,0.198896007630352,391066,247374
1024.5687810505,0.198330708716831,392234,248436
1028.33439781597,0.198212432326653,392667,248778
1032.09574422296,0.197935315243482,392732,248978
1035.85282027145,0.197292376574717,393200,249644
1039.60562596146,0.197596856171928,393077,249391
1043.35416129297,0.197488399497062,393138,249492
1048.34556562178,0.197050448200185,392556,249374
1052.08413678348,0.196802785320607,392403,249419
1055.81843758669,0.196778978388225,392070,249221
1059.54846803141,0.196378688309677,392031,249426
1063.27422811764,0.196387058124078,392114,249474
1066.99571784538,0.195748348770357,391792,249636
1070.71293721462,0.196116963484172,392742,250029
1074.42588622538,0.196401014650916,393755,250510
1078.13456487764,0.195662733140252,394795,251599
1081.83897317142,0.195469695118863,396566,252840
1086.77154144991,0.195681740690608,398955,254239
1090.46598557387,0.195556033006072,401086,255671
1094.15615933934,0.1951287985765,403370,257380
1097.84206274632,0.195048058458871,406034,259128
1101.52369579481,0.195008001478438,408975,261029
1105.20105848481,0.194931263734157,412183,263123
1108.87415081632,0.19430852615544,415636,265708
1112.54297278934,0.195046059638473,419177,267517
1116.20752440387,0.194967053625508,422939,269967
1121.08695044336,0.195152560242541,428646,273493
1124.74153788807,0.195441714999817,432959,276061
1128.3918549743,0.195080064859327,437306,279065
1132.03790170203,0.195384248397003,442160,281965
1135.67967807127,0.195907153158358,446993,284704
1139.31718408202,0.195800782886237,452123,288042
1142.95041973428,0.196443705995032,457504,291039
1146.57938502805,0.196668106545116,462863,294296
1150.20407996333,0.196703123806421,468028,297556
1153.82450454012,0.197199260010868,473791,300876
1158.6450945293,0.197818965735653,481936,305612
1162.25555493627,0.198572663194073,488242,309074
1165.86174498476,0.198166037041681,494412,313273
1169.46366467475,0.19883472171307,501057,316995
1173.06131400625,0.198959827271116,507891,321226
1176.65469297927,0.199127951363223,515237,325746
1180.24380159379,0.199725522584964,522518,329895
1183.82863984982,0.19969913125248,530486,334946
1187.40920774736,0.1997681921439,538451,339921
1192.17665549754,0.200054274147654,548971,346334
1195.74725922527,0.200088644696235,557405,351627
1199.3135925945,0.199972996484909,565927,357098
1202.87565560525,0.199800406763568,574000,362336
1206.43344825751,0.199570925358617,582280,367757
1209.98697055127,0.199674275132426,591300,373365
1213.53622248654,0.19939959366693,599851,379004
1217.08120406333,0.199365933827315,608591,384556
1220.62191528162,0.19867763959559,617035,390510
1224.15835614142,0.19804540284238,625380,396368
1228.86696784128,0.197549330396555,636032,403580
1232.39344453127,0.197457377045338,643889,408652
1235.91565086277,0.196861939897907,651255,413894
1239.43358683578,0.196537202067261,658059,418531
1242.94725245029,0.196406714240767,664966,423051
1246.45664770632,0.19630462061015,671710,427442
1249.96177260386,0.195864031357807,677120,431322
1253.4626271429,0.195583418083761,682558,435067
1256.95921132345,0.195550149965713,688252,438730
1261.61468078432,0.195277418880398,697656,445004
1265.10130079506,0.195356015614299,704840,449505
1268.58365044731,0.195183247292397,711229,453760
1272.06172974107,0.195008614787315,717710,458079
1275.53553867634,0.195044198837327,723499,461736
1279.00507725312,0.194824607671107,728480,465150
1282.4703454714,0.194736304707,733867,468685
1285.9313433312,0.194664163385497,738293,471590
1289.38807083251,0.19447600476864,742311,474362
1292.84052797532,0.194323145504751,745862,476799
1297.43716138587,0.194299602533168,750630,479873
1300.87965435887,0.194396414808908,753975,481904
1304.31787697338,0.194222951588298,756195,483516
