***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.83,,,,,,System Temp (C):,41.65,,,,,,,
Humidity (%):,24.07,,,,,,Humidity (%):,24.26,,,,,,,
Lamp Indicator:,1126,,,,,,Lamp Indicator:,1128,,,,,,,
Data Date-Time:,2023/11/10T14:26:31,,,,,,Data Date-Time:,2023/11/10T14:25:29,,,,,,,
Total Measurement Time in sec:,6.7740307,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 1min 3sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.206881178509065,86782,53895
905.716563509274,0.207025870606168,94201,58483
909.614561387966,0.205041303727165,102021,63628
913.508288908168,0.204837433963443,110988,69253
917.397746069878,0.204469904343369,121927,76143
921.282932873098,0.202154088931199,135467,85051
925.163849317827,0.203647741399744,151659,94890
929.040495404065,0.204262638220114,170512,106535
932.912871131812,0.203262031002402,189435,118631
938.069395988934,0.202931506381936,213771,133973
941.931807546869,0.202497509733988,229984,144278
945.789948746314,0.202522418911135,244322,153264
949.643819587268,0.202977538886549,256944,161013
953.493420069731,0.201892776926557,268404,168615
957.338750193702,0.202123422147435,279958,175780
961.179809959184,0.201522634413626,290771,182822
965.016599366174,0.200858994455907,300970,189524
968.849118414673,0.202296519798413,311491,195501
973.952501032798,0.201890049210503,324254,203702
977.775055911486,0.202175723007096,334265,209853
981.593340431682,0.2012386863903,342493,215483
985.407354593388,0.201771457285893,350735,220398
989.217098396603,0.201444741675004,358182,225247
993.022571841327,0.20168946420045,364387,229020
996.823774927561,0.201995663965711,370110,232453
1000.6207076553,0.201213341592893,375415,236210
1004.41337002455,0.201301008729103,380096,239107
1008.20176203532,0.201642585032283,383658,241158
1013.24630860312,0.201684811776493,387342,243450
1017.02473644407,0.201568086230871,389530,244891
1020.79889392653,0.201531434915127,391024,245851
1024.5687810505,0.201370509027244,392097,246617
1028.33439781597,0.201709277758537,392901,246930
1032.09574422296,0.201882356855881,393099,246956
1035.85282027145,0.201424490677143,393421,247419
1039.60562596146,0.201457185680887,393096,247196
1043.35416129297,0.201790713228183,393250,247103
1048.34556562178,0.201578201052895,392652,246848
1052.08413678348,0.201410404888069,392424,246800
1055.81843758669,0.201948712164058,392414,246488
1059.54846803141,0.201831449861804,392168,246400
1063.27422811764,0.201568319555501,392247,246599
1066.99571784538,0.201825132130069,392218,246435
1070.71293721462,0.201891259396547,392924,246841
1074.42588622538,0.201633583307964,393795,247535
1078.13456487764,0.201822693837786,395383,248425
1081.83897317142,0.201911656832472,396798,249263
1086.77154144991,0.20147589282909,398997,250896
1090.46598557387,0.202362274013403,401334,251851
1094.15615933934,0.202153862684969,404018,253657
1097.84206274632,0.202566569955409,406277,254833
1101.52369579481,0.202152012706597,409274,256958
1105.20105848481,0.202081762616312,412482,259014
1108.87415081632,0.202354276571625,416253,261218
1112.54297278934,0.202558001121247,419420,263082
1116.20752440387,0.202262538564807,423277,265682
1121.08695044336,0.202496543673918,428987,269121
1124.74153788807,0.203202074635393,433312,271393
1128.3918549743,0.202978366716982,437897,274406
1132.03790170203,0.20362479416029,442647,276970
1135.67967807127,0.203821425066235,447585,279933
1139.31718408202,0.20404034075485,452565,282905
1142.95041973428,0.205107689431218,457808,285480
1146.57938502805,0.20444666596783,463073,289203
1150.20407996333,0.205500427828139,468498,291882
1153.82450454012,0.206011900773328,474599,295335
1158.6450945293,0.206229980300092,482476,300086
1162.25555493627,0.20716045496854,488612,303252
1165.86174498476,0.207310630704496,495067,307152
1169.46366467475,0.207701718139532,501745,311015
1173.06131400625,0.207702653390596,508504,315204
1176.65469297927,0.208427844041782,516039,319341
1180.24380159379,0.208578205911444,523180,323648
1183.82863984982,0.208808100799999,531167,328415
1187.40920774736,0.208950566838769,538748,332993
1192.17665549754,0.209665371570795,549704,339206
1195.74725922527,0.209465656500674,557816,344370
1199.3135925945,0.209703085558524,566432,349498
1202.87565560525,0.210088368342082,574794,354343
1206.43344825751,0.209847628239846,583141,359688
1209.98697055127,0.21011668512347,592269,365092
1213.53622248654,0.209978045234606,600920,370543
1217.08120406333,0.209622551335926,609172,375939
1220.62191528162,0.209286733036251,617906,381624
1224.15835614142,0.208826204312527,626333,387239
1228.86696784128,0.208324566949155,636927,394244
1232.39344453127,0.208178614651234,644885,399304
1235.91565086277,0.208337222791846,652596,403931
1239.43358683578,0.20788616564548,659404,408569
1242.94725245029,0.20758679571844,666117,413013
1246.45664770632,0.207429588721493,672894,417366
1249.96177260386,0.207720027558936,678510,420568
1253.4626271429,0.207491057236305,684054,424228
1256.95921132345,0.207231908622322,689565,427901
1261.61468078432,0.207316985887402,698931,433628
1265.10130079506,0.207237642574874,706168,438198
1268.58365044731,0.207386326691228,713029,442304
1272.06172974107,0.207518041572078,719265,446037
1275.53553867634,0.207341058383482,725015,449786
1279.00507725312,0.20731381208974,730058,452943
1282.4703454714,0.207257483331928,735504,456381
1285.9313433312,0.207408008734885,740165,459114
1289.38807083251,0.20716573878453,744014,461759
1292.84052797532,0.20685347228313,747395,464191
1297.43716138587,0.207054825308191,752434,467104
1300.87965435887,0.207324768401554,755808,468907
1304.31787697338,0.207178004345598,758171,470532
1307.7518292294,0.207659519716526,760580,471504
1311.18151112693,0.207601623230874,762556,472792
1314.60692266597,0.207819764609656,764151,473543
1318.02806384652,0.207858674850068,765425,474290
1321.44493466858,0.20785532364219,766389,474891
1324.85753513215,0.208306643918712,767160,474875
1329.4010263037,0.208466685980933,767467,474890
1332.80366259745,0.209058738359434,767509,474269
1336.20202853272,0.209981825236528,767183,473061
1339.59612410949,0.210466031570578,766727,472253
1342.98594932777,0.211038209179419,765813,471069
1346.37150418756,0.211669825674186,764028,469288
1349.75278868886,0.212300631463931,761969,467344
1353.12980283167,0.213118821585309,759131,464727
1356.50254661599,0.213450292803596,756755,462919
1359.87102004182,0.214317237991184,753779,460179
1364.35567516305,0.215364337517109,751006,457382
1367.71418441907,0.215909032094014,749129,455667
1371.06842331659,0.216235544932104,745984,453413
1374.41839185563,0.216969845621777,741437,449888
1377.76409003617,0.217639229663993,735257,445451
1381.10551785823,0.218677988224655,729291,440781
1384.44267532179,0.219819729071965,723195,435949
1387.77556242686,0.221060489757276,717608,431347
1391.10417917344,0.22262317567839,712471,426721
1395.53569205567,0.225249366900056,706828,420789
1398.85434463244,0.227567827871249,702958,416257
1402.16872685072,0.230437621102862,699457,411456
1405.47883871051,0.233726173903218,696538,406648
1408.7846802118,0.23739550155564,694089,401809
1412.08625135461,0.240800949911236,691271,397052
1415.38355213892,0.24443477941593,688898,392392
1418.67658256475,0.247557202811729,686983,388498
1421.96534263208,0.250462047655104,685685,385179
1425.24983234092,0.253116032725318,684076,381934
1429.62250917284,0.255711065684181,682246,378643
1432.89703471187,0.257536793115561,681096,376419
1436.16728989241,0.258874144615854,679906,374606
1439.43327471445,0.259963782707643,679174,373265
1442.69498917801,0.260585404537543,678352,372280
1445.95243328308,0.261008624587493,677308,371345
1449.20560702965,0.261527625726072,676195,370292
1452.45451041774,0.261467353541632,674268,369288
1455.69914344733,0.261898398651592,671942,367649
1460.01867804025,0.261848800697042,669146,366161
1463.25334690003,0.262084985753683,666824,364692
1466.48374540132,0.26192426160909,663757,363149
1469.70987354412,0.261984743530647,660782,361471
1472.93173132843,0.261007725524647,657351,360404
1476.14931875425,0.260765459548938,653849,358684
1479.36263582158,0.260603044663843,650545,357005
1482.57168253042,0.260050243017762,646549,355264
1485.77645888076,0.259446252740003,642321,353432
1488.97696487262,0.259174578216216,638552,351578
1493.23766341522,0.258214787356669,631876,348672
1496.42820523726,0.258068818553537,627323,346276
1499.61447670082,0.257194199592264,622275,344182
1502.79647780588,0.256509724346777,616645,341606
1505.97420855245,0.255767912483861,611192,339164
1509.14766894053,0.254838328703588,605262,336593
1512.31685897012,0.254151930446003,599640,333994
1515.48177864122,0.253486643740675,592880,330735
1518.64242795382,0.252565651281721,586991,328145
1522.84998425743,0.251623919279794,577889,323758
1526.00066940022,0.251261779031806,571126,320236
1529.14708418453,0.250462113236855,563948,316794
1532.28922861034,0.249733599511697,556333,313041
1535.42710267766,0.249130268341045,548334,308969
1538.5607063865,0.248947783393055,540472,304667
1541.69003973684,0.248529063556888,532178,300281
1544.81510272869,0.248354355726917,523255,295365
1547.93589536205,0.247553697137156,514753,291102
1551.05241763692,0.247453999959172,506248,286358
1555.2011378902,0.246801649134512,494549,280161
1558.30769599526,0.246605458093725,485874,275371
1561.40998374183,0.246543442656897,477206,270497
1564.5080011299,0.245908124022689,468095,265721
1567.60174815948,0.245868242188789,458697,260410
1570.69122483058,0.245659533005839,449318,255208
1573.77643114318,0.245782532888213,439798,249730
1576.85736709729,0.244764039179831,430055,244771
1579.93403269291,0.244627408512848,420277,239281
1584.0296107072,0.244228398015245,407818,232401
1587.09631213301,0.243003694928364,398202,227562
1590.15874320033,0.24284169335182,389185,222492
1593.21690390916,0.242771952466706,379346,216902
1596.27079425949,0.241565463385064,370454,212407
1599.32041425134,0.241203896486878,361335,207351
1602.36576388469,0.241086436524957,352253,202194
1605.40684315956,0.240064677888084,343053,197377
1608.44365207593,0.24005279204908,333926,192131
1611.47619063381,0.239278219383837,325104,187389
1615.51293259778,0.238919374690007,312949,180532
1618.53550698585,0.238874861385098,304448,175646
1621.55381101543,0.238926051093913,295721,170591
1624.56784468652,0.238328804309773,287000,165788
1627.57760799912,0.238361393458006,278689,160975
1630.58310095323,0.237662845965699,269858,156125
1633.58432354884,0.23845712811031,261699,151128
1636.58127578597,0.238807765419344,253188,146095
1639.5739576646,0.238049827964605,244849,141530
1643.55755738958,0.238321288641454,233930,135134
1646.5402750984,0.238415003441422,225943,130492
1649.51872244873,0.239919313844715,218156,125559
1652.49289944057,0.241941432747594,210324,120489
1655.46280607392,0.240996956921887,202299,116144
1658.42844234878,0.241640016948297,194695,111613
1661.38980826515,0.244974997646752,187020,106393
1664.34690382303,0.244259666250118,178894,101938
1667.29972902242,0.244378398856132,170452,97101
1670.24828386331,0.245648135738691,161217,91572
1674.17304753796,0.245198891796847,146882,83516
1677.11163820905,0.246026914819022,134359,76250
1680.04595852164,0.248123580294844,121225,68465
1682.97600847574,0.250213067890748,107596,60476
1685.90178807136,0.249891869934658,93852,52790
1688.82329730848,0.250368144832306,80393,45170
1691.74053618711,0.250948243522766,68494,38433
1694.65350470725,0.251624578372248,58257,32638
1697.56220286889,0.252541521132173,49238,27527
1701.43382430455,0.25329646857781,39646,22126
