***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.01,,,,,,System Temp (C):,41.65,,,,,,,
Humidity (%):,23.98,,,,,,Humidity (%):,24.26,,,,,,,
Lamp Indicator:,1125,,,,,,Lamp Indicator:,1128,,,,,,,
Data Date-Time:,2023/11/10T14:28:18,,,,,,Data Date-Time:,2023/11/10T14:25:29,,,,,,,
Total Measurement Time in sec:,6.8035439,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 1min 28sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.247976619343141,86782,49029
905.716563509274,0.249173693008552,94201,53074
909.614561387966,0.248795202103147,102021,57530
913.508288908168,0.246211306142787,110988,62960
917.397746069878,0.244677843763971,121927,69410
921.282932873098,0.244959424483689,135467,77068
925.163849317827,0.2422584111278,151659,86818
929.040495404065,0.243222745632415,170512,97394
932.912871131812,0.241006996264365,189435,108756
938.069395988934,0.241507914652702,213771,122586
941.931807546869,0.240255970439577,229984,132264
945.789948746314,0.240292432756926,244322,140498
949.643819587268,0.239726446686156,256944,147949
953.493420069731,0.239677825569993,268404,154565
957.338750193702,0.238468816605641,279958,161668
961.179809959184,0.238986952032412,290771,167712
965.016599366174,0.238071312766989,300970,173961
968.849118414673,0.238303305768194,311491,179946
973.952501032798,0.237559917974328,324254,187640
977.775055911486,0.237692824316983,334265,193374
981.593340431682,0.237219494835968,342493,198350
985.407354593388,0.237549394464919,350735,202969
989.217098396603,0.237341075393223,358182,207378
993.022571841327,0.237210443771832,364387,211034
996.823774927561,0.238087550301445,370110,213916
1000.6207076553,0.237415921684662,375415,217318
1004.41337002455,0.237156855341157,380096,220159
1008.20176203532,0.237526731557469,383658,222033
1013.24630860312,0.236810543216121,387342,224535
1017.02473644407,0.237369328448344,389530,225513
1020.79889392653,0.236644626654004,391024,226756
1024.5687810505,0.236889627558892,392097,227250
1028.33439781597,0.236746573016886,392901,227791
1032.09574422296,0.237213299869761,393099,227661
1035.85282027145,0.236878882744909,393421,228023
1039.60562596146,0.236874371116893,393096,227837
1043.35416129297,0.23698157896299,393250,227870
1048.34556562178,0.237402646216359,392652,227303
1052.08413678348,0.23660810915853,392424,227587
1055.81843758669,0.236997961010647,392414,227377
1059.54846803141,0.237256931487773,392168,227099
1063.27422811764,0.237055738788352,392247,227250
1066.99571784538,0.237256844104562,392218,227128
1070.71293721462,0.237061887432888,392924,227639
1074.42588622538,0.237348684423486,393795,227993
1078.13456487764,0.237767019750392,395383,228692
1081.83897317142,0.237597590766405,396798,229600
1086.77154144991,0.237385852266322,398997,230985
1090.46598557387,0.237524052529007,401334,232264
1094.15615933934,0.237712269590241,404018,233716
1097.84206274632,0.237264914225345,406277,235265
1101.52369579481,0.237687481892765,409274,236770
1105.20105848481,0.237405234776488,412482,238781
1108.87415081632,0.23729348315913,416253,241026
1112.54297278934,0.237241289066091,419420,242889
1116.20752440387,0.237575595460029,423277,244934
1121.08695044336,0.23817636433617,428987,247895
1124.74153788807,0.238640142159518,433312,250127
1128.3918549743,0.23867049608094,437897,252756
1132.03790170203,0.238933568614147,442647,255343
1135.67967807127,0.239462914283872,447585,257877
1139.31718408202,0.239265149757561,452565,260865
1142.95041973428,0.239764333212519,457808,263584
1146.57938502805,0.240191866981414,463073,266353
1150.20407996333,0.240986137397155,468498,268981
1153.82450454012,0.241596680944676,474599,272101
1158.6450945293,0.241956531679745,482476,276388
1162.25555493627,0.24234154020503,488612,279655
1165.86174498476,0.242636675843766,495067,283157
1169.46366467475,0.24274190898329,501745,286907
1173.06131400625,0.243251403333846,508504,290431
1176.65469297927,0.243471895779765,516039,294585
1180.24380159379,0.244363464484374,523180,298049
1183.82863984982,0.244403785022471,531167,302571
1187.40920774736,0.244577031723723,538748,306767
1192.17665549754,0.244952408788937,549704,312735
1195.74725922527,0.244953832960095,557816,317349
1199.3135925945,0.245184022855447,566432,322080
1202.87565560525,0.245328530224326,574794,326726
1206.43344825751,0.245502330801883,583141,331338
1209.98697055127,0.245237191451614,592269,336730
1213.53622248654,0.245083990883365,600920,341769
1217.08120406333,0.244599486474845,609172,346849
1220.62191528162,0.244490804250425,617906,351910
1224.15835614142,0.244109099282696,626333,357023
1228.86696784128,0.24353865121992,636927,363539
1232.39344453127,0.243378440057756,644885,368217
1235.91565086277,0.243102106582367,652596,372857
1239.43358683578,0.242741114090482,659404,377060
1242.94725245029,0.242462569436785,666117,381143
1246.45664770632,0.242214154320813,672894,385241
1249.96177260386,0.242247960252447,678510,388426
1253.4626271429,0.24210244556437,684054,391731
1256.95921132345,0.242080378073778,689565,394907
1261.61468078432,0.241995555304064,698931,400349
1265.10130079506,0.241984139417415,706168,404505
1268.58365044731,0.241914069632565,713029,408501
1272.06172974107,0.242174111486787,719265,411827
1275.53553867634,0.241952644141121,725015,415331
1279.00507725312,0.242005530089397,730058,418169
1282.4703454714,0.242158546161919,735504,421140
1285.9313433312,0.242067177347213,740165,423898
1289.38807083251,0.241805672751043,744014,426359
1292.84052797532,0.241888311951559,747395,428215
1297.43716138587,0.242051604327245,752434,430940
1300.87965435887,0.2420840961156,755808,432840
1304.31787697338,0.242301456103788,758171,433976
1307.7518292294,0.242367208710782,760580,435289
1311.18151112693,0.242178064120493,762556,436610
1314.60692266597,0.242375874042561,764151,437324
