***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.24,,,,,,System Temp (C):,41.34,,,,,,,
Humidity (%):,25.14,,,,,,Humidity (%):,25.34,,,,,,,
Lamp Indicator:,1119,,,,,,Lamp Indicator:,1125,,,,,,,
Data Date-Time:,2023/11/10T14:14:11,,,,,,Data Date-Time:,2023/11/10T14:11:52,,,,,,,
Total Measurement Time in sec:,6.7980634,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,58min 47sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.194521547852598,87089,55647
905.716563509274,0.196654920735242,94581,60138
909.614561387966,0.1945376493329,102020,65185
913.508288908168,0.19493108207122,111300,71050
917.397746069878,0.193593265672198,122422,78391
921.282932873098,0.194781601858188,135899,86783
925.163849317827,0.195461524111356,152516,97242
929.040495404065,0.193959000886821,170925,109357
932.912871131812,0.195232001218288,190451,121493
938.069395988934,0.194825609849033,214435,136921
941.931807546869,0.19351961509995,230414,147567
945.789948746314,0.194601962296318,244878,156440
949.643819587268,0.194362845120175,257384,164520
953.493420069731,0.194246880080785,268861,171902
957.338750193702,0.194481690612042,280441,179209
961.179809959184,0.194830845105049,291451,186095
965.016599366174,0.194961193067976,301546,192483
968.849118414673,0.194814704994068,311829,199114
973.952501032798,0.195169909008056,324866,207269
977.775055911486,0.194976430202462,334690,213632
981.593340431682,0.195946038220528,343347,218669
985.407354593388,0.195620924393701,351230,223857
989.217098396603,0.195744248558345,358681,228541
993.022571841327,0.196014751541261,365183,232539
996.823774927561,0.196195390783558,370631,235910
1000.6207076553,0.196171687990872,375861,239252
1004.41337002455,0.195633586422218,380564,242546
1008.20176203532,0.196184450897089,384497,244742
1013.24630860312,0.195860673263451,387380,246761
1017.02473644407,0.196056913329951,389790,248184
1020.79889392653,0.195749197076075,391606,249517
1024.5687810505,0.195833107011419,392983,250346
1028.33439781597,0.19566837427926,393107,250520
1032.09574422296,0.195457885407057,393260,250739
1035.85282027145,0.196164895432938,393951,250771
1039.60562596146,0.196337014807209,393917,250650
1043.35416129297,0.196050561539322,393874,250788
1048.34556562178,0.196210746969729,393372,250376
1052.08413678348,0.195922179397249,393106,250373
1055.81843758669,0.195695032839067,392709,250251
1059.54846803141,0.196095254590958,392903,250144
1063.27422811764,0.195948877937911,392802,250164
1066.99571784538,0.196029596416424,392897,250178
1070.71293721462,0.196467997023031,393407,250250
1074.42588622538,0.196044705419849,394321,251076
1078.13456487764,0.196275353250361,395555,251728
1081.83897317142,0.196038046199137,397379,253027
1086.77154144991,0.196226025969236,399603,254333
1090.46598557387,0.196274879251896,401763,255679
1094.15615933934,0.196593851078809,404483,257221
1097.84206274632,0.196294950147253,406829,258891
1101.52369579481,0.196340359205399,409889,260811
1105.20105848481,0.196040030513166,413144,263064
1108.87415081632,0.196814908819005,416794,264915
1112.54297278934,0.196831972039674,420319,267145
1116.20752440387,0.196627059034464,424024,269627
1121.08695044336,0.196360391783178,429395,273210
1124.74153788807,0.197110395493822,433922,275614
1128.3918549743,0.197130680803908,438631,278592
1132.03790170203,0.197594189728052,443273,281240
1135.67967807127,0.197441633150404,447926,284292
1139.31718408202,0.198177905737052,453203,287154
1142.95041973428,0.198259198046532,458546,290485
1146.57938502805,0.198022274198846,463679,293897
1150.20407996333,0.19879860610008,469051,296771
1153.82450454012,0.199415157526382,474874,300029
1158.6450945293,0.199621211125555,483009,305024
1162.25555493627,0.200147498700531,489066,308475
1165.86174498476,0.200445382955279,495800,312508
1169.46366467475,0.200504635216578,502405,316628
1173.06131400625,0.201106819226847,509380,320579
1176.65469297927,0.201412141335279,516523,324846
1180.24380159379,0.20151253617481,523653,329254
1183.82863984982,0.201837325919453,531780,334114
1187.40920774736,0.201591329904341,539574,339203
1192.17665549754,0.202076601781373,550280,345547
1195.74725922527,0.202399890424009,558698,350572
1199.3135925945,0.202655276375079,567030,355591
1202.87565560525,0.202460609322541,575316,360949
1206.43344825751,0.202809166857196,583891,366035
1209.98697055127,0.202950077955752,592785,371490
1213.53622248654,0.202679733236722,601541,377212
1217.08120406333,0.202563924817898,609910,382562
1220.62191528162,0.202207597383805,618426,388222
1224.15835614142,0.202096610524559,627000,393705
1228.86696784128,0.202170605656312,637696,400353
1232.39344453127,0.201755426044441,645414,405586
1235.91565086277,0.201942424857013,652926,410130
1239.43358683578,0.201694336820298,659896,414745
1242.94725245029,0.201561107434437,666969,419319
1246.45664770632,0.20115819077281,673322,423706
1249.96177260386,0.201144556702969,679012,427300
1253.4626271429,0.201567653396788,684802,430524
1256.95921132345,0.201510510493018,690105,433915
1261.61468078432,0.201380260819992,699452,439924
1265.10130079506,0.201476010681288,706947,444540
1268.58365044731,0.2017881926453,713428,448293
1272.06172974107,0.201629046067886,719810,452469
1275.53553867634,0.201664602134051,725466,455987
1279.00507725312,0.20183963442832,730667,459071
1282.4703454714,0.20196863379577,736052,462317
1285.9313433312,0.201859402515662,740599,465290
1289.38807083251,0.201805251369232,744635,467884
1292.84052797532,0.201788711762388,748033,470037
1297.43716138587,0.201980246651869,753055,472984
1300.87965435887,0.202161843781314,756280,474811
