***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41,,,,,,System Temp (C):,40.73,,,,,,,
Humidity (%):,20.06,,,,,,Humidity (%):,20.05,,,,,,,
Lamp Indicator:,1114,,,,,,Lamp Indicator:,1120,,,,,,,
Data Date-Time:,2023/11/13T13:58:52,,,,,,Data Date-Time:,2023/11/13T13:54:33,,,,,,,
Total Measurement Time in sec:,6.7852172,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,2hr 7min 50sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.275723750297535,86232,45703
905.716563509274,0.272695615280227,93566,49937
909.614561387966,0.271124862369786,101185,54199
913.508288908168,0.267751909442171,109998,59379
917.397746069878,0.268465465781558,120978,65199
921.282932873098,0.265259918466541,134140,72828
925.163849317827,0.26552025520791,150634,81734
929.040495404065,0.264676453544483,169304,92043
932.912871131812,0.262372592236591,188423,102982
938.069395988934,0.259932381696465,212417,116750
941.931807546869,0.258151218183852,228379,126039
945.789948746314,0.257322667696357,242571,134127
949.643819587268,0.257243980273819,255056,141056
953.493420069731,0.25531419822831,266674,148138
957.338750193702,0.254632088579559,277834,154580
961.179809959184,0.254214320497742,288908,160896
965.016599366174,0.253333076925938,298904,166801
968.849118414673,0.253095307641666,309087,172578
973.952501032798,0.251405234845212,321852,180406
977.775055911486,0.251827868081985,331780,185790
981.593340431682,0.251199724625036,340245,190806
985.407354593388,0.250066917070992,348022,195677
989.217098396603,0.250359057771811,355708,199864
993.022571841327,0.249059197743937,361803,203898
996.823774927561,0.24912902986547,367377,207006
1000.6207076553,0.247950067290701,372712,210583
1004.41337002455,0.24742570539954,377235,213396
1008.20176203532,0.246393034699952,380748,215896
1013.24630860312,0.245607867812916,384338,218326
1017.02473644407,0.24510857238891,386337,219714
1020.79889392653,0.244772065573086,388480,221104
1024.5687810505,0.243913711030937,389598,222179
1028.33439781597,0.243825852860261,390103,222512
1032.09574422296,0.243438107049893,390445,222906
1035.85282027145,0.242083069597515,390444,223602
1039.60562596146,0.241647381376111,390520,223870
1043.35416129297,0.241190941533772,390352,224009
1048.34556562178,0.240876855162479,390129,224043
1052.08413678348,0.241090047633528,390000,223859
1055.81843758669,0.240495213955709,389628,223952
1059.54846803141,0.239634690405002,389428,224281
1063.27422811764,0.239017188199789,389674,224742
1066.99571784538,0.238890866236195,389240,224557
1070.71293721462,0.238655998540987,390095,225172
1074.42588622538,0.238472704907504,391198,225904
1078.13456487764,0.23760608363643,392238,226957
1081.83897317142,0.237552916152915,394077,228049
1086.77154144991,0.237175648034303,396076,229405
1090.46598557387,0.236910315240497,398286,230826
1094.15615933934,0.236169315437126,400823,232693
1097.84206274632,0.236705736058791,403319,233853
1101.52369579481,0.235863216262226,406054,235896
1105.20105848481,0.236252568774275,409733,237820
1108.87415081632,0.234995203003279,412960,240388
1112.54297278934,0.235254404859675,416347,242215
