***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.61,,,,,,System Temp (C):,40.21,,,,,,,
Humidity (%):,20.39,,,,,,Humidity (%):,20.23,,,,,,,
Lamp Indicator:,1116,,,,,,Lamp Indicator:,1115,,,,,,,
Data Date-Time:,2023/11/13T13:46:33,,,,,,Data Date-Time:,2023/11/13T13:42:41,,,,,,,
Total Measurement Time in sec:,6.7750957,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,2hr 6min 9sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.123522909453957,85748,64521
905.716563509274,0.122295471857713,93313,70412
909.614561387966,0.123065185571872,100694,75847
913.508288908168,0.122882966318904,109734,82691
917.397746069878,0.121452702947104,120649,91216
921.282932873098,0.121797294013204,134166,101355
925.163849317827,0.121326523501743,150421,113758
929.040495404065,0.120899839320071,168713,127717
932.912871131812,0.119716600826934,187953,142670
938.069395988934,0.119408919212231,211977,161020
941.931807546869,0.119187912105407,227910,173211
945.789948746314,0.119105434657139,241897,183876
949.643819587268,0.118663426098131,254174,193405
953.493420069731,0.119456770340518,266059,202079
957.338750193702,0.118743119780158,277117,210824
961.179809959184,0.118882699025355,287775,218862
965.016599366174,0.119423352607874,298264,226557
968.849118414673,0.119109349684124,307873,234025
973.952501032798,0.119856622802793,321277,243794
977.775055911486,0.120072967812304,330764,250868
981.593340431682,0.120073254750721,339068,257166
985.407354593388,0.12035963748024,347279,263220
989.217098396603,0.120597440974234,354690,268690
993.022571841327,0.120969182183233,361136,273339
996.823774927561,0.1205612730609,366420,277599
1000.6207076553,0.120694883721591,372040,281770
1004.41337002455,0.120558472219964,376444,285195
1008.20176203532,0.120930069950852,379991,287636
1013.24630860312,0.120590561220325,383377,290426
1017.02473644407,0.120722243142954,385775,292154
1020.79889392653,0.120848160603693,387493,293370
1024.5687810505,0.120513498147917,388612,294444
1028.33439781597,0.120849969074632,389110,294593
1032.09574422296,0.12030777040679,389139,294983
1035.85282027145,0.121126920040679,389723,294869
1039.60562596146,0.120770265358533,389757,295137
1043.35416129297,0.120730007606058,389742,295153
1048.34556562178,0.120434772506178,389171,294921
1052.08413678348,0.120440272886558,388945,294746
1055.81843758669,0.120626639150022,388605,294362
1059.54846803141,0.120621875617823,388441,294241
1063.27422811764,0.121258018821103,388861,294128
1066.99571784538,0.120715329282555,388415,294158
1070.71293721462,0.121343901362424,389488,294544
1074.42588622538,0.121420080771807,390252,295070
1078.13456487764,0.121179569573451,391486,296167
1081.83897317142,0.121504977794283,393011,297098
1086.77154144991,0.121041690632784,395104,298999
1090.46598557387,0.121110237907601,397203,300540
1094.15615933934,0.121229999770716,399864,302470
1097.84206274632,0.120984029713585,402144,304367
1101.52369579481,0.121063681803573,405055,306514
1105.20105848481,0.121206463042226,408493,309014
1108.87415081632,0.121199556460327,411860,311566
1112.54297278934,0.121880370810634,415452,313791
