***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.76,,,,,,System Temp (C):,40.75,,,,,,,
Humidity (%):,20.25,,,,,,Humidity (%):,20.3,,,,,,,
Lamp Indicator:,1113,,,,,,Lamp Indicator:,1120,,,,,,,
Data Date-Time:,2023/11/10T17:12:44,,,,,,Data Date-Time:,2023/11/10T17:11:34,,,,,,,
Total Measurement Time in sec:,6.7471489,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 22min 11sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.228675731645909,86428,51048
905.716563509274,0.229628527412929,93875,55325
909.614561387966,0.22638982530543,101169,60070
913.508288908168,0.226801508741947,110353,65461
917.397746069878,0.224942638840968,121338,72286
921.282932873098,0.224134787229722,134858,80490
925.163849317827,0.224653683552038,151346,90223
929.040495404065,0.22425657274962,169715,101266
932.912871131812,0.224613309539657,189323,112873
938.069395988934,0.22392003186475,213047,127220
941.931807546869,0.223862410030367,229145,136851
945.789948746314,0.222996869679208,243294,145591
949.643819587268,0.223195582972853,255889,153058
953.493420069731,0.221951702805976,267195,160279
957.338750193702,0.221706358492826,278522,167168
961.179809959184,0.221514669612053,289349,173743
965.016599366174,0.221566338168306,299775,179982
968.849118414673,0.221260464412557,309850,186162
973.952501032798,0.221321849739573,322908,193980
977.775055911486,0.221395153787917,332699,199828
981.593340431682,0.221682478234414,341231,204817
985.407354593388,0.221048797308697,349306,209970
989.217098396603,0.220581055422229,356340,214429
993.022571841327,0.22033743137001,362880,218487
996.823774927561,0.220245129380922,368178,221724
1000.6207076553,0.219399775418131,373894,225605
1004.41337002455,0.218927235763203,378189,228445
1008.20176203532,0.218916349724411,381848,230661
1013.24630860312,0.218459146864799,385516,233122
1017.02473644407,0.218077918596487,387747,234677
1020.79889392653,0.217994622077554,389427,235739
1024.5687810505,0.217564205068036,390713,236752
1028.33439781597,0.217492706142668,391576,237314
1032.09574422296,0.217089340654991,391135,237267
1035.85282027145,0.21709481134906,391951,237759
1039.60562596146,0.216301136025597,391808,238107
1043.35416129297,0.215815039455931,391825,238384
1048.34556562178,0.215329878914534,391202,238271
1052.08413678348,0.215053320261186,390866,238218
1055.81843758669,0.2149965596303,390705,238151
1059.54846803141,0.21451289796687,390434,238251
1063.27422811764,0.214468086247945,390805,238502
1066.99571784538,0.214361200092755,390699,238496
1070.71293721462,0.2137764233536,391343,239211
1074.42588622538,0.21309095479784,392222,240127
1078.13456487764,0.213507900017429,393668,240781
1081.83897317142,0.213131257582379,395336,242011
1086.77154144991,0.212967265540589,397530,243446
1090.46598557387,0.212482416145997,399706,245052
1094.15615933934,0.212835290350193,402633,246646
1097.84206274632,0.21221806146212,404834,248347
1101.52369579481,0.211916225852398,407524,250171
1105.20105848481,0.212212408901089,411116,252204
1108.87415081632,0.21196579491931,414747,254576
1112.54297278934,0.211660172733725,418032,256773
