***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.75,,,,,,System Temp (C):,40.75,,,,,,,
Humidity (%):,20,,,,,,Humidity (%):,20.09,,,,,,,
Lamp Indicator:,1115,,,,,,Lamp Indicator:,1120,,,,,,,
Data Date-Time:,2023/11/10T17:17:49,,,,,,Data Date-Time:,2023/11/10T17:16:33,,,,,,,
Total Measurement Time in sec:,6.7222728,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 22min 57sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.169811139726476,86780,58696
905.716563509274,0.168278861315874,94097,63870
909.614561387966,0.167971826174229,101661,69053
913.508288908168,0.167747858702754,110867,75345
917.397746069878,0.168965916065254,121962,82653
921.282932873098,0.167366191575622,135389,92091
925.163849317827,0.167612200301332,151682,103115
929.040495404065,0.167400412486436,170435,115920
932.912871131812,0.166372294876255,189850,129431
938.069395988934,0.166651601851868,213939,145760
941.931807546869,0.165365229979955,230093,157231
945.789948746314,0.165411369966567,244254,166890
949.643819587268,0.165062740415523,256889,175664
953.493420069731,0.165234349858034,268507,183536
957.338750193702,0.165196483954387,280021,191423
961.179809959184,0.165001332541483,290632,198766
965.016599366174,0.165298893880791,301053,205752
968.849118414673,0.164938521376087,311271,212912
973.952501032798,0.164605721086327,324151,221892
977.775055911486,0.165767120552373,334206,228164
981.593340431682,0.165126748725215,342536,234196
985.407354593388,0.16556720324181,350551,239433
989.217098396603,0.165945200714415,358397,244579
993.022571841327,0.1657570746957,364628,248939
996.823774927561,0.164949214120599,369794,252936
1000.6207076553,0.164816740895967,375640,257013
1004.41337002455,0.165135835128201,380402,260080
1008.20176203532,0.164357317787386,383489,262661
1013.24630860312,0.164744160981581,387183,264955
1017.02473644407,0.164033073460067,389358,266880
1020.79889392653,0.163934627627264,391128,268154
1024.5687810505,0.164018515096162,392394,268970
1028.33439781597,0.163799866900023,392806,269388
1032.09574422296,0.163557429315642,392938,269629
1035.85282027145,0.163516614640413,393261,269876
1039.60562596146,0.16381100864808,393551,269892
1043.35416129297,0.163798882387851,393314,269737
1048.34556562178,0.163255859007427,392840,269749
1052.08413678348,0.163219047803877,392747,269708
1055.81843758669,0.163387426872011,392522,269449
1059.54846803141,0.16352049820562,392533,269374
1063.27422811764,0.163069474366058,392456,269601
1066.99571784538,0.163205411543207,392375,269461
1070.71293721462,0.162987012934014,393083,270083
1074.42588622538,0.162641012820051,393929,270880
1078.13456487764,0.162915407755882,395297,271649
1081.83897317142,0.162439829577648,396786,272971
1086.77154144991,0.162251374333139,398972,274594
1090.46598557387,0.162437100806212,401214,276019
1094.15615933934,0.162828140505418,404088,277746
1097.84206274632,0.16263244570472,406208,279329
1101.52369579481,0.162585345983539,409344,281516
1105.20105848481,0.163122506595353,412774,283524
1108.87415081632,0.162775295638535,416238,286132
1112.54297278934,0.162903527392125,419699,288426
1116.20752440387,0.162664431630048,423258,291032
1121.08695044336,0.162978842512287,428769,294608
1124.74153788807,0.163473542929634,433148,297278
1128.3918549743,0.163722968182,437874,300349
1132.03790170203,0.164421224795969,442657,303142
1135.67967807127,0.164487503225898,447306,306279
1139.31718408202,0.165301482815455,452365,309163
1142.95041973428,0.165614577179551,457800,312652
1146.57938502805,0.166198550863915,462973,315760
1150.20407996333,0.166754015750437,468168,318895
1153.82450454012,0.167424391744075,474161,322479
1158.6450945293,0.168287842787053,482035,327183
1162.25555493627,0.169252473705546,488359,330740
1165.86174498476,0.169840052601243,494757,334620
1169.46366467475,0.170721087755735,501445,338456
1173.06131400625,0.171710593146814,508340,342329
1176.65469297927,0.172689501569662,515604,346439
1180.24380159379,0.173374734319376,522421,350466
1183.82863984982,0.174193425620004,530656,355320
1187.40920774736,0.174923389376177,538671,360081
1192.17665549754,0.175301020431348,549074,366716
1195.74725922527,0.175423993392673,557356,372142
1199.3135925945,0.176171427847456,566155,377367
1202.87565560525,0.176010004211189,574517,383083
1206.43344825751,0.175874037571127,582655,388631
1209.98697055127,0.175526409423222,591643,394942
1213.53622248654,0.175223476890874,600458,401106
1217.08120406333,0.174221133671982,608749,407584
1220.62191528162,0.173440635297062,617287,414044
1224.15835614142,0.172708112357726,625671,420376
1228.86696784128,0.171934539012303,636519,428427
1232.39344453127,0.171167984438077,644387,434489
1235.91565086277,0.170692920753934,651878,440021
1239.43358683578,0.170364345358959,659031,445186
1242.94725245029,0.170032111291807,665932,450192
1246.45664770632,0.16983333709461,672433,454795
1249.96177260386,0.169578116765718,678024,458846
1253.4626271429,0.169217154613476,683647,463036
1256.95921132345,0.169084668673047,689186,466930
1261.61468078432,0.169251679065338,698402,472992
1265.10130079506,0.16902207190205,705946,478354
1268.58365044731,0.168776508985596,712550,483102
1272.06172974107,0.168386969829686,718681,487696
1275.53553867634,0.168686215225331,724693,491437
1279.00507725312,0.168501948188309,729751,495077
1282.4703454714,0.16831253412233,735176,498975
1285.9313433312,0.168599587499279,739805,501785
1289.38807083251,0.168395150596051,743866,504777
1292.84052797532,0.16823479454409,747420,507376
1297.43716138587,0.167926638363648,751967,510825
1300.87965435887,0.167856694234937,755106,513040
1304.31787697338,0.168279799049586,758074,514555
1307.7518292294,0.168398056581667,760264,515901
1311.18151112693,0.168448086007299,762384,517280
1314.60692266597,0.168527108268557,764215,518428
1318.02806384652,0.168597431492914,765244,519042
1321.44493466858,0.169042757175612,766187,519149
1324.85753513215,0.169299717957883,766797,519255
1329.4010263037,0.16988123451987,767576,519087
1332.80366259745,0.170198674329652,767387,518580
1336.20202853272,0.170929056403619,767186,517573
1339.59612410949,0.171719881223643,766832,516393
1342.98594932777,0.17258380320754,765947,514772
1346.37150418756,0.173644815341516,763935,512167
1349.75278868886,0.174955489386921,762040,509357
1353.12980283167,0.175914601891121,759492,506534
1356.50254661599,0.17678972774854,757316,504066
1359.87102004182,0.178077191378137,754328,500591
1364.35567516305,0.17946874445377,751473,497101
1367.71418441907,0.180658379973642,749540,494466
1371.06842331659,0.18175334983808,746478,491206
1374.41839185563,0.18294177842854,741878,486845
1377.76409003617,0.184066548650336,735978,481724
1381.10551785823,0.185118987461366,729613,476402
1384.44267532179,0.186611790431049,723676,470904
1387.77556242686,0.188400439208642,717927,465243
1391.10417917344,0.190167206769083,713122,460253
1395.53569205567,0.193670831080143,707232,452784
1398.85434463244,0.197029463934396,703574,446972
1402.16872685072,0.200974925724351,699913,440625
1405.47883871051,0.206397475791878,697041,433372
1408.7846802118,0.211735498599247,694203,426335
1412.08625135461,0.217406558980782,691631,419245
1415.38355213892,0.222527862154093,689070,412796
1418.67658256475,0.227173147902924,687045,407204
1421.96534263208,0.231427525226062,685584,402377
1425.24983234092,0.235138729988995,683836,397936
1429.62250917284,0.239957461722985,682093,392542
1432.89703471187,0.242698933868072,681371,389659
1436.16728989241,0.244758605687924,679963,387014
1439.43327471445,0.246564591092503,678998,384861
1442.69498917801,0.247879916366991,678143,383214
1445.95243328308,0.248254240320313,677534,382540
1449.20560702965,0.248461509940625,675949,381463
1452.45451041774,0.248979785213205,674354,380109
1455.69914344733,0.248601814085591,671736,378963
