***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.64,,,,,,System Temp (C):,41.15,,,,,,,
Humidity (%):,18.79,,,,,,Humidity (%):,19.07,,,,,,,
Lamp Indicator:,1127,,,,,,Lamp Indicator:,1123,,,,,,,
Data Date-Time:,2023/11/10T18:25:11,,,,,,Data Date-Time:,2023/11/10T18:22:47,,,,,,,
Total Measurement Time in sec:,6.8132603,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 33min 46sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.190161286759417,86250,55667
905.716563509274,0.189223816197776,93550,60509
909.614561387966,0.187658004181973,100868,65478
913.508288908168,0.188502063944188,109859,71176
917.397746069878,0.187419991511669,120708,78400
921.282932873098,0.186135329594264,134000,87291
925.163849317827,0.187275099488865,150356,97689
929.040495404065,0.187173839153858,168977,109813
932.912871131812,0.184984398142246,187824,122678
938.069395988934,0.184875170199556,212111,138576
941.931807546869,0.184884802435305,228145,149048
945.789948746314,0.184376211241596,242300,158481
949.643819587268,0.182785876213919,254597,167135
953.493420069731,0.183011785206626,266497,174856
957.338750193702,0.182639650659918,277679,182349
961.179809959184,0.182547842122932,288442,189457
965.016599366174,0.181942561342513,298593,196398
968.849118414673,0.181462507581327,308707,203275
973.952501032798,0.181437032392311,321899,211974
977.775055911486,0.181034399368715,331567,218543
981.593340431682,0.180632459493184,339982,224297
985.407354593388,0.180103070595634,347852,229769
989.217098396603,0.179674927928889,355085,234778
993.022571841327,0.179270766535452,361444,239205
996.823774927561,0.17876857353887,366837,243055
1000.6207076553,0.178498416955935,372511,246968
1004.41337002455,0.178220348909428,376962,250079
1008.20176203532,0.177613321381695,380444,252742
1013.24630860312,0.176599778779653,383687,255492
1017.02473644407,0.175942253954111,386122,257503
1020.79889392653,0.175913746981923,387701,258573
1024.5687810505,0.175530263787934,389146,259766
1028.33439781597,0.174627309586536,389302,260411
1032.09574422296,0.174665434314019,389846,260752
1035.85282027145,0.173736318827331,390184,261537
1039.60562596146,0.172750842277008,389898,261939
1043.35416129297,0.172532025235201,390200,262274
1048.34556562178,0.171754412994576,389349,262171
1052.08413678348,0.170446185244299,388822,262606
1055.81843758669,0.170648745327563,388876,262520
1059.54846803141,0.169627859657832,388560,262924
1063.27422811764,0.168825280893281,388797,263571
1066.99571784538,0.168780072592747,388935,263692
1070.71293721462,0.167489381215542,389322,264740
1074.42588622538,0.166366081894383,390119,265969
1078.13456487764,0.165911981883602,391474,267172
1081.83897317142,0.166106536446375,393473,268416
1086.77154144991,0.165160054822812,395634,270479
1090.46598557387,0.164497885918862,397498,272168
1094.15615933934,0.164248341181786,400278,274229
1097.84206274632,0.163492542304623,402419,276176
1101.52369579481,0.163200097977123,405388,278401
1105.20105848481,0.162163046178798,408506,281213
1108.87415081632,0.162509485850044,412090,283454
1112.54297278934,0.161708772749812,415442,286287
