***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.35,,,,,,System Temp (C):,41.21,,,,,,,
Humidity (%):,19.58,,,,,,Humidity (%):,19.67,,,,,,,
Lamp Indicator:,1120,,,,,,Lamp Indicator:,1124,,,,,,,
Data Date-Time:,2023/11/10T18:00:17,,,,,,Data Date-Time:,2023/11/10T17:58:27,,,,,,,
Total Measurement Time in sec:,6.7437821,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 29min 29sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.223978767109626,85845,51255
905.716563509274,0.222631706943746,93086,55751
909.614561387966,0.222938312832844,100572,60192
913.508288908168,0.221410622477894,109313,65654
917.397746069878,0.222832735027912,120334,72037
921.282932873098,0.22102210502914,133667,80353
925.163849317827,0.220385274621606,149708,90128
929.040495404065,0.22144457873299,168265,101053
932.912871131812,0.220843357430157,187256,112614
938.069395988934,0.219881410587621,211002,127176
941.931807546869,0.22031884355004,227263,136839
945.789948746314,0.220654861138171,241329,145196
949.643819587268,0.220103266789766,254022,153027
953.493420069731,0.220435194308134,265531,159838
957.338750193702,0.219825803225181,276655,166768
961.179809959184,0.221348026199009,287500,172699
965.016599366174,0.220598313627637,297567,179055
968.849118414673,0.220362976047363,307365,185051
973.952501032798,0.220262634483862,320411,192950
977.775055911486,0.220359653414114,329970,198662
981.593340431682,0.220228162284132,338370,203781
985.407354593388,0.220660857450705,346481,208458
989.217098396603,0.220343165071048,353514,212845
993.022571841327,0.220573791557819,359749,216484
996.823774927561,0.220288445911446,365267,219949
1000.6207076553,0.22011132150188,370704,223314
1004.41337002455,0.220853922749228,375587,225869
1008.20176203532,0.22057386110785,379044,228095
1013.24630860312,0.22035790655983,382219,230120
1017.02473644407,0.220022369632008,384410,231618
1020.79889392653,0.220401787074487,386339,232577
1024.5687810505,0.21961455522992,387319,233590
1028.33439781597,0.220354741484971,388179,233710
1032.09574422296,0.219589624199018,387955,233987
1035.85282027145,0.219705940861462,388447,234221
1039.60562596146,0.219307478084732,388278,234334
1043.35416129297,0.218935345991603,388308,234553
1048.34556562178,0.219122042003446,387834,234166
1052.08413678348,0.218863827018337,387721,234237
1055.81843758669,0.218926980493413,387390,234003
1059.54846803141,0.218834500540101,387286,233990
1063.27422811764,0.219028409943664,387555,234048
1066.99571784538,0.218576257091672,387423,234212
1070.71293721462,0.218455414720736,387980,234614
1074.42588622538,0.218182784851329,388781,235246
1078.13456487764,0.217873570032575,390022,236165
1081.83897317142,0.217830024168914,391872,237309
1086.77154144991,0.217712105072234,394024,238677
1090.46598557387,0.217688110394936,396277,240055
1094.15615933934,0.217738798452657,398874,241600
1097.84206274632,0.217063012914165,401155,243360
1101.52369579481,0.217003513245919,403986,245111
1105.20105848481,0.217083938876067,407338,247099
1108.87415081632,0.217133451118363,411028,249309
1112.54297278934,0.216999761961576,414122,251263
1116.20752440387,0.217520197353199,418102,253374
1121.08695044336,0.217004431857126,423498,256949
1124.74153788807,0.217169327040928,427766,259440
1128.3918549743,0.217769383782829,432855,262164
1132.03790170203,0.217473308301251,436906,264798
1135.67967807127,0.217811559230299,441931,267635
1139.31718408202,0.218177213310596,446886,270408
1142.95041973428,0.218064116708325,451946,273541
1146.57938502805,0.218781924856479,457435,276406
1150.20407996333,0.219166100115884,462438,279182
1153.82450454012,0.219863187447615,468387,282320
1158.6450945293,0.220318123955252,476310,286795
1162.25555493627,0.220340577737091,482264,290365
1165.86174498476,0.220993127925258,488485,293669
1169.46366467475,0.221340298804307,495403,297590
1173.06131400625,0.221175025243759,502197,301786
1176.65469297927,0.221551692125142,509085,305660
1180.24380159379,0.221599035001316,516383,310008
1183.82863984982,0.222490969086843,524248,314084
1187.40920774736,0.222451653967333,531978,318744
1192.17665549754,0.223031256654746,542455,324588
1195.74725922527,0.223072053959738,550460,329347
1199.3135925945,0.223684533110938,559095,334042
1202.87565560525,0.223472773552874,567274,339094
1206.43344825751,0.223836038608002,575628,343800
1209.98697055127,0.223573262549347,584411,349257
1213.53622248654,0.22360922099579,592850,354271
1217.08120406333,0.223276114882739,601298,359595
1220.62191528162,0.2233939974608,609560,364437
1224.15835614142,0.223151845745727,617714,369518
1228.86696784128,0.223011153758349,628393,376028
1232.39344453127,0.222527484352138,636090,381058
1235.91565086277,0.222800393624766,643567,385295
1239.43358683578,0.222462089227431,650478,389736
1242.94725245029,0.222612033619684,656992,393503
1246.45664770632,0.222347708421403,663627,397719
1249.96177260386,0.22229791027237,669120,401057
1253.4626271429,0.222434132581383,674345,404062
1256.95921132345,0.222199650107621,680161,407767
1261.61468078432,0.22242568412624,689235,412992
1265.10130079506,0.222395721378548,696510,417380
1268.58365044731,0.222395684770616,702913,421217
1272.06172974107,0.222506806962139,709339,424959
1275.53553867634,0.22276667479789,715018,428105
1279.00507725312,0.222385378123242,719914,431415
1282.4703454714,0.222546356707299,725229,434439
1285.9313433312,0.222606565634717,729794,437113
1289.38807083251,0.222172267477345,733678,439879
1292.84052797532,0.222767525696345,737385,441496
1297.43716138587,0.222766215280547,742228,444397
1300.87965435887,0.22295662892217,745237,446003
1304.31787697338,0.222851917583871,747655,447558
1307.7518292294,0.222899738642245,750083,448962
1311.18151112693,0.223175777284151,752011,449830
1314.60692266597,0.223353316440364,753817,450726
1318.02806384652,0.223665432390256,754692,450925
1321.44493466858,0.223927328000604,755864,451353
