***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41,,,,,,System Temp (C):,40.71,,,,,,,
Humidity (%):,28.8,,,,,,Humidity (%):,29.13,,,,,,,
Lamp Indicator:,1113,,,,,,Lamp Indicator:,1120,,,,,,,
Data Date-Time:,2023/11/13T09:58:53,,,,,,Data Date-Time:,2023/11/13T09:56:18,,,,,,,
Total Measurement Time in sec:,6.7626555,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 50min 27sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.527108020426088,86128,25588
905.716563509274,0.521372118256074,93329,28096
909.614561387966,0.518995609089367,100950,30557
913.508288908168,0.513021675566164,109832,33706
917.397746069878,0.508090028322316,120886,37522
921.282932873098,0.504548601142941,134230,42005
925.163849317827,0.496410519022495,150311,47927
929.040495404065,0.493997347628923,168996,54185
932.912871131812,0.488333139427246,188300,61167
938.069395988934,0.482333394501155,212244,69904
941.931807546869,0.478581261682191,228238,75824
945.789948746314,0.472868335440965,242358,81581
949.643819587268,0.469063186134383,254918,86564
953.493420069731,0.464005517621594,266334,91500
957.338750193702,0.458269764648112,277596,96637
961.179809959184,0.455139664706948,288690,101226
965.016599366174,0.450917869029312,298539,105702
968.849118414673,0.446583500143067,308661,110382
973.952501032798,0.441703987391711,321612,116313
977.775055911486,0.437228279636236,331199,121021
981.593340431682,0.433380805876796,340186,125411
985.407354593388,0.429708400344522,347876,129335
989.217098396603,0.426528836180149,355354,133086
993.022571841327,0.423213913776579,361444,136404
996.823774927561,0.420298204016492,366927,139406
1000.6207076553,0.416005979188631,372732,143018
1004.41337002455,0.411690924609392,377134,146152
1008.20176203532,0.408074651285862,380435,148664
1013.24630860312,0.403868291021538,383806,151441
1017.02473644407,0.400278551246363,386390,153726
1020.79889392653,0.397154702226874,387873,155430
1024.5687810505,0.394121259826354,389220,157063
1028.33439781597,0.390801955903434,389970,158573
1032.09574422296,0.387454729762228,389736,159704
1035.85282027145,0.385026775241817,390553,160936
1039.60562596146,0.381357305448928,390145,162132
1043.35416129297,0.378519875136128,390148,163196
1048.34556562178,0.374773895266218,389613,164384
1052.08413678348,0.372631304803251,389705,165236
1055.81843758669,0.368981282869429,388988,166324
1059.54846803141,0.366475611038718,388922,167258
1063.27422811764,0.364992522783408,389209,167954
1066.99571784538,0.362079282243715,388796,168905
1070.71293721462,0.360214047571758,389981,170149
1074.42588622538,0.358037699685306,390880,171398
1078.13456487764,0.355735271941355,392039,172820
1081.83897317142,0.353531996067231,393558,174372
1086.77154144991,0.350842508457615,395518,176329
1090.46598557387,0.349355928586797,397875,177988
1094.15615933934,0.346582081817117,400455,180290
1097.84206274632,0.345378231875725,402813,181855
1101.52369579481,0.342941122974948,405517,184106
1105.20105848481,0.341509645701936,408828,186222
1108.87415081632,0.339859813657754,412424,188575
1112.54297278934,0.33892727971625,415843,190547
1116.20752440387,0.337703188983433,419630,192825
1121.08695044336,0.335276016533988,425134,196449
1124.74153788807,0.334425304072707,429287,198757
1128.3918549743,0.334149377497559,434294,201203
1132.03790170203,0.332417775335552,438807,204106
1135.67967807127,0.331698266224147,443601,206678
1139.31718408202,0.330630661363868,448327,209394
1142.95041973428,0.329910669296572,453796,212300
1146.57938502805,0.32921358906347,458858,215013
1150.20407996333,0.328686942760083,464106,217736
1153.82450454012,0.327909535820997,469908,220853
1158.6450945293,0.327278648811522,478009,224987
1162.25555493627,0.326615258433502,483635,227983
1165.86174498476,0.326370267537836,490274,231243
1169.46366467475,0.326163893704846,497011,234532
1173.06131400625,0.3255421566675,503662,238011
1176.65469297927,0.325775271751391,511165,241427
1180.24380159379,0.324540357745719,517749,245233
