***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,34.51,,,,,,System Temp (C):,30,,,,,,,
Humidity (%):,41.15,,,,,,Humidity (%):,48.85,,,,,,,
Lamp Indicator:,1065,,,,,,Lamp Indicator:,1030,,,,,,,
Data Date-Time:,2023/11/13T09:16:45,,,,,,Data Date-Time:,2023/11/13T09:05:59,,,,,,,
Total Measurement Time in sec:,7.0475402,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 43min 44sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.204085127760861,87217,54515
905.716563509274,0.201895722660665,94962,59656
909.614561387966,0.199706198638298,102497,64715
913.508288908168,0.199226333386637,112392,71041
917.397746069878,0.197183139485537,124142,78838
921.282932873098,0.198589380339113,139309,88184
925.163849317827,0.197868387669761,157584,99918
929.040495404065,0.19606166381237,177572,113061
932.912871131812,0.19257988014046,196901,126377
938.069395988934,0.188771458697884,220364,142682
941.931807546869,0.186107862739113,235174,153208
945.789948746314,0.182240243078121,248172,163122
949.643819587268,0.181020074171806,260083,171432
953.493420069731,0.178342784314923,271132,179820
957.338750193702,0.175880272390087,281932,188046
961.179809959184,0.174553401649021,292333,195580
965.016599366174,0.17364315355437,302854,203044
968.849118414673,0.172524423670894,313032,210409
973.952501032798,0.170426640824782,325851,220086
977.775055911486,0.169937690002231,335810,227068
981.593340431682,0.168606666660979,344239,233482
985.407354593388,0.167990214701225,352340,239316
989.217098396603,0.16697747455778,359999,245089
993.022571841327,0.166149726596997,366267,249832
996.823774927561,0.165178438425638,371531,253990
1000.6207076553,0.16410492401132,377377,258625
1004.41337002455,0.163438169530724,381756,262028
1008.20176203532,0.162638713509877,385040,264769
1013.24630860312,0.162098315137172,388705,267622
1017.02473644407,0.161157431385136,390845,269679
1020.79889392653,0.160055847993817,392311,271378
1024.5687810505,0.159487548707644,393555,272595
1028.33439781597,0.159002924787013,394065,273253
1032.09574422296,0.158577259704932,394176,273598
1035.85282027145,0.158094743821709,394809,274342
1039.60562596146,0.157549388377013,394601,274542
1043.35416129297,0.156482360735271,394427,275096
1048.34556562178,0.156268387153356,394141,275032
1052.08413678348,0.156565898055701,394087,274806
1055.81843758669,0.155420656768252,393637,275217
1059.54846803141,0.1550909325694,393404,275263
1063.27422811764,0.154405692700863,393580,275821
1066.99571784538,0.154610231752112,393734,275799
1070.71293721462,0.154414370125443,394357,276360
1074.42588622538,0.154609325931847,395482,277024
1078.13456487764,0.153689643654137,396882,278594
1081.83897317142,0.15366685457909,398327,279623
1086.77154144991,0.153169187915877,400432,281423
1090.46598557387,0.153509290848285,402923,282952
1094.15615933934,0.152821006721008,405336,285098
1097.84206274632,0.152922058976275,407690,286687
1101.52369579481,0.15325798367103,410728,288600
1105.20105848481,0.153022291013731,413835,290941
1108.87415081632,0.153387013744051,417568,293319
1112.54297278934,0.153151130356456,420766,295726
1116.20752440387,0.153354835886274,424720,298365
1121.08695044336,0.154019566539306,430148,301716
1124.74153788807,0.154830274647582,434434,304154
1128.3918549743,0.154955216305682,439221,307417
1132.03790170203,0.15592889871695,443907,310001
1135.67967807127,0.15611904686114,448604,313144
1139.31718408202,0.15614358616804,453211,316342
1142.95041973428,0.157234280517915,459007,319584
1146.57938502805,0.157219662013714,463800,322932
1150.20407996333,0.158356864349377,469192,325832
1153.82450454012,0.158935313288696,474926,329375
1158.6450945293,0.160167694199904,483066,334071
1162.25555493627,0.161017921648364,488830,337396
1165.86174498476,0.161640498410095,495258,341343
1169.46366467475,0.161982222671702,501806,345584
1173.06131400625,0.163133727339739,508678,349389
