***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,33.26,,,,,,System Temp (C):,30,,,,,,,
Humidity (%):,43.22,,,,,,Humidity (%):,48.85,,,,,,,
Lamp Indicator:,1046,,,,,,Lamp Indicator:,1030,,,,,,,
Data Date-Time:,2023/11/13T09:12:38,,,,,,Data Date-Time:,2023/11/13T09:05:59,,,,,,,
Total Measurement Time in sec:,7.0184263,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 43min 29sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.543861445471477,87217,24931
905.716563509274,0.537917204516001,94962,27519
909.614561387966,0.534299827014012,102497,29951
913.508288908168,0.539146122018981,112392,32478
917.397746069878,0.532018700798422,124142,36467
921.282932873098,0.533617159204718,139309,40772
925.163849317827,0.532879544963999,157584,46199
929.040495404065,0.530358259843501,177572,52362
932.912871131812,0.52848253686397,196901,58313
938.069395988934,0.525066584978565,220364,65777
941.931807546869,0.522025180740701,235174,70691
945.789948746314,0.519871062764857,248172,74969
949.643819587268,0.518673939092751,260083,78784
953.493420069731,0.516932180481703,271132,82461
957.338750193702,0.513399469651157,281932,86446
961.179809959184,0.513269421433681,292333,89662
965.016599366174,0.512222994690073,302854,93113
968.849118414673,0.511079424863845,313032,96496
973.952501032798,0.509705038953996,325851,100766
977.775055911486,0.508960075198741,335810,104024
981.593340431682,0.508923645253002,344239,106644
985.407354593388,0.507432827424625,352340,109529
989.217098396603,0.506831298927229,359999,112065
993.022571841327,0.507079650501023,366267,113951
996.823774927561,0.506410277423742,371531,115767
1000.6207076553,0.505818200175694,377377,117749
1004.41337002455,0.505258293554497,381756,119269
1008.20176203532,0.505590541841292,385040,120203
1013.24630860312,0.503955010983337,388705,121805
1017.02473644407,0.504106069261507,390845,122433
1020.79889392653,0.503993801530125,392311,122924
1024.5687810505,0.503408813540319,393555,123480
1028.33439781597,0.503496690287115,394065,123615
1032.09574422296,0.503106368230218,394176,123761
1035.85282027145,0.503385847530141,394809,123880
1039.60562596146,0.502456396703456,394601,124080
1043.35416129297,0.502306854990828,394427,124068
1048.34556562178,0.503092368948559,394141,123754
1052.08413678348,0.502857432162664,394087,123804
1055.81843758669,0.503400824166642,393637,123508
1059.54846803141,0.502384819056954,393404,123724
1063.27422811764,0.502589599771283,393580,123721
1066.99571784538,0.50263665511998,393734,123756
1070.71293721462,0.5023032885456,394357,124047
1074.42588622538,0.503005125928481,395482,124200
1078.13456487764,0.502829777627326,396882,124690
1081.83897317142,0.502715206396423,398327,125177
1086.77154144991,0.503781247445273,400432,125530
1090.46598557387,0.503712124965877,402923,126331
1094.15615933934,0.503177864421606,405336,127244
1097.84206274632,0.503374633372188,407690,127925
1101.52369579481,0.503294654655976,410728,128902
1105.20105848481,0.503652913604652,413835,129770
1108.87415081632,0.503741116773688,417568,130914
1112.54297278934,0.504253757142554,420766,131761
1116.20752440387,0.504875205690436,424720,132809
1121.08695044336,0.504579301234741,430148,134598
1124.74153788807,0.505689740309956,434434,135592
1128.3918549743,0.505937169714442,439221,137008
1132.03790170203,0.506243775312717,443907,138372
1135.67967807127,0.506747570973118,448604,139674
1139.31718408202,0.506807286874743,453211,141089
1142.95041973428,0.508657138228311,459007,142286
1146.57938502805,0.508653409381572,463800,143773
1150.20407996333,0.510081446977652,469192,144967
1153.82450454012,0.509976815718876,474926,146774
1158.6450945293,0.511365599338093,483066,148813
1162.25555493627,0.511976434689344,488830,150377
1165.86174498476,0.512939341873617,495258,152017
1169.46366467475,0.513429880755511,501806,153853
1173.06131400625,0.513432513223351,508678,155959
1176.65469297927,0.514507910416831,515890,157779
1180.24380159379,0.515099298156141,522899,159705
1183.82863984982,0.515646275185615,531239,162048
1187.40920774736,0.514420696312741,539062,164899
1192.17665549754,0.515696314158903,549723,167667
1195.74725922527,0.51472570492484,557649,170465
1199.3135925945,0.515233903495438,566444,172951
1202.87565560525,0.515002311373582,574594,175533
1206.43344825751,0.514696451117232,583293,178316
1209.98697055127,0.514364845572381,592098,181146
1213.53622248654,0.514037091116818,600986,184004
1217.08120406333,0.513314871058129,609512,186925
1220.62191528162,0.513164183802614,618196,189654
1224.15835614142,0.511975049979325,626482,192723
1228.86696784128,0.510480390009027,637346,196741
1232.39344453127,0.509999268077821,645455,199465
1235.91565086277,0.509498433422487,653034,202040
1239.43358683578,0.508305598777985,660078,204781
1242.94725245029,0.508464090577003,666826,206799
1246.45664770632,0.508171168833496,673965,209154
1249.96177260386,0.508073909550231,679584,210945
1253.4626271429,0.507532333239856,684976,212884
1256.95921132345,0.507289746818492,690800,214814
1261.61468078432,0.507460887376377,699990,217586
1265.10130079506,0.50722608064427,707277,219970
1268.58365044731,0.507537528246818,713914,221875
1272.06172974107,0.507100320555645,720592,224176
1275.53553867634,0.506306445800004,726200,226334
1279.00507725312,0.506819478801934,731758,227797
1282.4703454714,0.506804210584407,737026,229445
1285.9313433312,0.506853435744398,741620,230849
1289.38807083251,0.50687287013417,745849,232155
1292.84052797532,0.506589929333962,749399,233412
1297.43716138587,0.506548636376918,754506,235025
1300.87965435887,0.50712214748627,757660,235696
1304.31787697338,0.506515422349295,760342,236861
1307.7518292294,0.507052393563195,762819,237339
1311.18151112693,0.506783579749897,764801,238103
1314.60692266597,0.507310858987119,766473,238334
1318.02806384652,0.507228264828411,767742,238774
1321.44493466858,0.508494568674209,768781,238401
1324.85753513215,0.509198848193621,769499,238237
1329.4010263037,0.509267942938567,770190,238413
1332.80366259745,0.510243537768412,770096,237849
1336.20202853272,0.510902970661916,769807,237399
1339.59612410949,0.512187660164808,769528,236612
1342.98594932777,0.513259044656149,768351,235668
1346.37150418756,0.514620357128248,766433,234344
1349.75278868886,0.515437854396152,764312,233256
1353.12980283167,0.517120788324223,761500,231499
1356.50254661599,0.518040078000484,759181,230306
1359.87102004182,0.519040171936438,755929,228792
1364.35567516305,0.521262967960728,753073,226764
1367.71418441907,0.521620481363918,751001,225954
1371.06842331659,0.522654229178219,748403,224637
1374.41839185563,0.523603977053869,744175,222880
1377.76409003617,0.52502124059742,738042,220323
1381.10551785823,0.526193179428153,731975,217923
1384.44267532179,0.527305096966354,725719,215508
1387.77556242686,0.529122760129368,720258,212993
1391.10417917344,0.531750424939374,715229,210230
1395.53569205567,0.535465447198927,709223,206689
1398.85434463244,0.538755585972947,705423,204030
1402.16872685072,0.54309162097422,701742,200949
1405.47883871051,0.547901397361098,698925,197938
1408.7846802118,0.55260549659168,696128,195022
1412.08625135461,0.558062083564442,693576,191881
1415.38355213892,0.563877213085184,690796,188570
1418.67658256475,0.568731304605993,689199,186043
1421.96534263208,0.574744306479267,687449,183019
1425.24983234092,0.579115131356268,686063,180821
1429.62250917284,0.584555355026366,683869,177999
1432.89703471187,0.587608441734492,683153,176567
1436.16728989241,0.590309059137804,681703,175100
1439.43327471445,0.592539276318588,680779,173967
1442.69498917801,0.59383028541526,679760,173191
1445.95243328308,0.595141885457696,679202,172527
1449.20560702965,0.595636472154168,677824,171981
1452.45451041774,0.595882392174841,676039,171431
1455.69914344733,0.596487270390874,673747,170612
1460.01867804025,0.596805165022659,670901,169767
1463.25334690003,0.597053000671181,668694,169112
1466.48374540132,0.596963029735421,665547,168351
1469.70987354412,0.596545244503799,662486,167738
1472.93173132843,0.596227127516672,659258,167043
1476.14931875425,0.594953545606953,655966,166697
1479.36263582158,0.594085105542703,652260,166087
1482.57168253042,0.594362280541331,648338,164983
1485.77645888076,0.593136051206851,644198,164393
1488.97696487262,0.592439766232584,640220,163640
1493.23766341522,0.5916334899784,633745,162286
1496.42820523726,0.589600940139352,628928,161808
1499.61447670082,0.58985607757709,624090,160469
1502.79647780588,0.588770181095896,618396,159403
1505.97420855245,0.587392783645673,613201,158566
1509.14766894053,0.586349801649244,607363,157434
1512.31685897012,0.585182748809824,601066,156221
1515.48177864122,0.58508448104591,594483,154545
1518.64242795382,0.584195311418225,588626,153336
1522.84998425743,0.583086636139739,579383,151314
1526.00066940022,0.581875153474905,572599,149960
1529.14708418453,0.581814065506483,566116,148283
1532.28922861034,0.580852197337444,557961,146471
1535.42710267766,0.580624632639794,550271,144528
1538.5607063865,0.580208685051502,542152,142532
1541.69003973684,0.579441432136053,533639,140542
1544.81510272869,0.578925087091498,525181,138479
1547.93589536205,0.577832986277846,516489,136530
1551.05241763692,0.57791170572778,507884,134231
1555.2011378902,0.578231951910194,496426,131106
1558.30769599526,0.576614563585891,487598,129255
1561.40998374183,0.576949709081514,478691,126796
1564.5080011299,0.57656681641093,469654,124512
1567.60174815948,0.576710859750695,460007,121914
1570.69122483058,0.575917266912988,450354,119574
1573.77643114318,0.575527243909856,440866,117160
1576.85736709729,0.574819309577177,431218,114783
1579.93403269291,0.574089467473015,421639,112422
1584.0296107072,0.57490700462648,408677,108761
1587.09631213301,0.573378675283801,399161,106603
1590.15874320033,0.572761078903031,390065,104322
1593.21690390916,0.572686204768832,380248,101714
1596.27079425949,0.569973955730455,371108,99891
1599.32041425134,0.570137436940655,362001,97403
1602.36576388469,0.568858833094588,352866,95225
1605.40684315956,0.568845439958102,343458,92689
1608.44365207593,0.567269115588631,334416,90577
1611.47619063381,0.566783956267208,325151,88166
1615.51293259778,0.566124335625395,313338,85092
1618.53550698585,0.565038643242867,304247,82830
1621.55381101543,0.564626517482607,295287,80467
1624.56784468652,0.564375974018202,286674,78165
1627.57760799912,0.564019963860824,277974,75855
1630.58310095323,0.563813584243687,269249,73509
1633.58432354884,0.564592438111334,260757,71063
1636.58127578597,0.564520452510697,252371,68789
1639.5739576646,0.562774389451142,243652,66680
1643.55755738958,0.563128421915043,232481,63571
1646.5402750984,0.563562027124915,224085,61214
1649.51872244873,0.563084097295334,215633,58970
1652.49289944057,0.566298709469976,206924,56171
1655.46280607392,0.564083480994148,197907,53998
