***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,38.56,,,,,,System Temp (C):,37.82,,,,,,,
Humidity (%):,34.8,,,,,,Humidity (%):,36.09,,,,,,,
Lamp Indicator:,1097,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2023/11/13T09:32:31,,,,,,Data Date-Time:,2023/11/13T09:28:22,,,,,,,
Total Measurement Time in sec:,6.7994685,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 46min 20sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.339440657524805,86183,39444
905.716563509274,0.337400119884066,93621,43050
909.614561387966,0.335699872029342,101229,46731
913.508288908168,0.333646665390704,110488,51247
917.397746069878,0.330423359108415,121422,56738
921.282932873098,0.327592582098946,135261,63618
925.163849317827,0.327580302988407,152083,71532
929.040495404065,0.325332457024303,170888,80794
932.912871131812,0.323316600413257,190295,90388
938.069395988934,0.32172281401667,213928,101987
941.931807546869,0.31814812937641,229681,110402
945.789948746314,0.317502314254131,243534,117235
949.643819587268,0.316045257505362,255745,123527
953.493420069731,0.313907735016135,267141,129668
957.338750193702,0.31343299173683,278423,135292
961.179809959184,0.312121193654181,289311,141008
965.016599366174,0.310797745905581,299370,146356
968.849118414673,0.309613422294395,309146,151548
973.952501032798,0.308783324237054,322364,158330
977.775055911486,0.308372186441165,332142,163287
981.593340431682,0.306945438640219,340689,168040
985.407354593388,0.305230054615704,348490,172568
989.217098396603,0.304789093958709,355871,176402
993.022571841327,0.303440301272984,362269,180132
996.823774927561,0.303053556784401,367854,183072
1000.6207076553,0.301696088053618,373232,186330
1004.41337002455,0.300817245729826,377555,188870
1008.20176203532,0.299814809573395,381158,191113
1013.24630860312,0.298919726910532,384734,193304
1017.02473644407,0.298255313361403,386932,194706
1020.79889392653,0.296812442778865,388786,196290
1024.5687810505,0.296939829144926,390174,196933
1028.33439781597,0.295366358121464,390358,197741
1032.09574422296,0.294923947632543,390635,198083
1035.85282027145,0.293991726229337,390862,198624
1039.60562596146,0.293594960548918,390857,198803
1043.35416129297,0.292214194705152,390753,199383
1048.34556562178,0.291893525174765,390257,199277
1052.08413678348,0.291369980553486,390446,199614
1055.81843758669,0.290122691802867,389808,199861
1059.54846803141,0.290529723481982,389990,199767
1063.27422811764,0.289766542373371,390077,200163
1066.99571784538,0.289335340710083,390089,200368
1070.71293721462,0.288336530535918,390504,201043
1074.42588622538,0.288494493903367,391536,201501
1078.13456487764,0.287967629336138,392643,202316
1081.83897317142,0.287344561186075,394332,203478
1086.77154144991,0.286856148340369,396384,204767
1090.46598557387,0.286349959145191,398606,206155
1094.15615933934,0.2856726320761,401008,207721
1097.84206274632,0.285366923587521,403444,209130
1101.52369579481,0.285536068610173,406469,210616
1105.20105848481,0.285262225070988,409777,212464
1108.87415081632,0.28533244417889,413165,214186
1112.54297278934,0.285732228472303,416851,215898
