***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.29,,,,,,System Temp (C):,41.36,,,,,,,
Humidity (%):,18.38,,,,,,Humidity (%):,18.29,,,,,,,
Lamp Indicator:,1120,,,,,,Lamp Indicator:,1125,,,,,,,
Data Date-Time:,2023/11/10T18:52:18,,,,,,Data Date-Time:,2023/11/10T18:48:43,,,,,,,
Total Measurement Time in sec:,6.6964618,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 38min 7sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.209928512571516,86018,53047
905.716563509274,0.20921296762161,93082,57498
909.614561387966,0.209485295913284,100830,62245
913.508288908168,0.208753829802709,109883,67948
917.397746069878,0.208650051006617,120694,74651
921.282932873098,0.207535016698827,133979,83081
925.163849317827,0.207280072355278,150180,93182
929.040495404065,0.207334405402214,168426,104490
932.912871131812,0.207378032206782,187694,116432
938.069395988934,0.206562889504201,211331,131341
941.931807546869,0.205967340040925,227627,141663
945.789948746314,0.205783543394918,241737,150508
949.643819587268,0.206698072277705,254347,158026
953.493420069731,0.206212689512353,265735,165286
957.338750193702,0.2059118126047,277072,172457
961.179809959184,0.206750813915539,288108,178980
965.016599366174,0.206637049036741,297941,185137
968.849118414673,0.206600714083998,308086,191457
973.952501032798,0.20670116678614,321106,199502
977.775055911486,0.2069696634383,330818,205409
981.593340431682,0.206947409617521,339454,210782
985.407354593388,0.206565962068621,347029,215675
989.217098396603,0.206880250760883,354568,220201
993.022571841327,0.206774960827777,360873,224171
996.823774927561,0.206333983923051,366375,227820
1000.6207076553,0.205708026020234,371569,231383
1004.41337002455,0.206134554783859,376406,234165
1008.20176203532,0.206122095664364,379917,236356
1013.24630860312,0.206606245975308,383675,238428
1017.02473644407,0.206204700187808,385822,239984
1020.79889392653,0.205464439152235,387261,241290
1024.5687810505,0.205778855225424,388783,242063
1028.33439781597,0.205437702235515,389033,242409
1032.09574422296,0.205134064880541,389146,242649
1035.85282027145,0.205291465826871,389709,242912
1039.60562596146,0.205011431621646,389655,243035
1043.35416129297,0.204923684494185,389533,243008
1048.34556562178,0.204444786030018,388974,242927
1052.08413678348,0.204616068742436,388743,242687
1055.81843758669,0.204397307064409,388496,242655
1059.54846803141,0.20427483257027,388228,242556
1063.27422811764,0.204318851371465,388373,242622
1066.99571784538,0.204356894294892,388367,242597
1070.71293721462,0.204494231639531,389148,243008
1074.42588622538,0.20396275408514,389950,243807
1078.13456487764,0.204145951544541,391345,244576
1081.83897317142,0.203711228639542,392934,245815
1086.77154144991,0.203595310483191,395092,247231
1090.46598557387,0.203703315855677,397345,248579
1094.15615933934,0.203708458288337,399992,250232
1097.84206274632,0.203657470464918,402237,251666
1101.52369579481,0.203607524551444,405192,253544
1105.20105848481,0.20361838473721,408432,255565
1108.87415081632,0.203188357910389,412024,258068
1112.54297278934,0.203376283516031,415194,259941
