***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.79,,,,,,System Temp (C):,41.57,,,,,,,
Humidity (%):,17.5,,,,,,Humidity (%):,17.6,,,,,,,
Lamp Indicator:,1123,,,,,,Lamp Indicator:,1129,,,,,,,
Data Date-Time:,2023/11/10T19:11:37,,,,,,Data Date-Time:,2023/11/10T19:10:28,,,,,,,
Total Measurement Time in sec:,6.7504146,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 41min 54sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.334874382474706,85407,39502
905.716563509274,0.332471984972006,92627,43079
909.614561387966,0.334363347495743,100296,46443
913.508288908168,0.333624295968837,109012,50565
917.397746069878,0.332764420998054,119690,55628
921.282932873098,0.334613362895556,133133,61613
925.163849317827,0.333356163455159,149252,69273
929.040495404065,0.333630409611975,167305,77603
932.912871131812,0.332136930802703,186527,86817
938.069395988934,0.332842036015231,210586,97856
941.931807546869,0.330713772356957,226607,105818
945.789948746314,0.329860431851013,240343,112453
949.643819587268,0.330467949961881,252849,118139
953.493420069731,0.331316003308221,264578,123378
957.338750193702,0.330794952010731,275934,128828
961.179809959184,0.329986736369125,286367,133948
965.016599366174,0.330150601728366,296589,138677
968.849118414673,0.329364199431512,306432,143539
973.952501032798,0.329022813804992,319308,149688
977.775055911486,0.329600118359094,328988,154021
981.593340431682,0.328915326500814,337544,158276
985.407354593388,0.329604084968788,345402,161704
989.217098396603,0.328905130409572,352639,165358
993.022571841327,0.328834945596328,358951,168345
996.823774927561,0.329221234198781,364753,170914
1000.6207076553,0.329131584189686,369965,173392
1004.41337002455,0.328801851281715,374217,175518
1008.20176203532,0.328410076191467,377831,177373
1013.24630860312,0.328161541532009,381019,178972
1017.02473644407,0.328152985238214,383547,180163
1020.79889392653,0.328376558380593,385080,180790
1024.5687810505,0.328576179564991,386493,181370
1028.33439781597,0.328662939176758,387248,181688
1032.09574422296,0.328507110401076,387222,181741
1035.85282027145,0.32864864158429,387572,181846
1039.60562596146,0.328800691632403,387454,181727
1043.35416129297,0.328503599207567,387221,181742
1048.34556562178,0.328546442551016,386865,181557
1052.08413678348,0.329497316899864,386831,181144
1055.81843758669,0.329561209082188,386559,180990
1059.54846803141,0.328868581199369,386233,181126
1063.27422811764,0.329140271057955,386304,181046
1066.99571784538,0.329589458519209,386629,181011
1070.71293721462,0.329525819714807,386929,181178
1074.42588622538,0.329576217953688,387950,181635
1078.13456487764,0.328705476672744,389004,182494
1081.83897317142,0.329475415249798,390747,182987
1086.77154144991,0.330183713336051,393113,183795
1090.46598557387,0.330398833164127,395330,184740
1094.15615933934,0.32996782804146,397779,186069
1097.84206274632,0.330712971623615,400353,186952
1101.52369579481,0.33084716556141,403058,188157
1105.20105848481,0.330342301868835,406118,189806
1108.87415081632,0.330826147951899,409893,191357
1112.54297278934,0.330964232669034,413081,192784
