***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.61,,,,,,System Temp (C):,41.64,,,,,,,
Humidity (%):,21.67,,,,,,Humidity (%):,21.63,,,,,,,
Lamp Indicator:,1124,,,,,,Lamp Indicator:,1128,,,,,,,
Data Date-Time:,2023/11/10T15:34:52,,,,,,Data Date-Time:,2023/11/10T15:31:54,,,,,,,
Total Measurement Time in sec:,6.7416898,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 11min 57sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.209557849923889,87197,53820
905.716563509274,0.209455889723687,94749,58495
909.614561387966,0.206095545948567,102367,63689
913.508288908168,0.205659848619598,111375,69363
917.397746069878,0.203658446871012,122262,76495
921.282932873098,0.203887480699541,135948,85013
925.163849317827,0.203413125684393,152125,95233
929.040495404065,0.203912285747138,171003,106928
932.912871131812,0.201417434285294,190316,119690
938.069395988934,0.200456076915626,214444,135163
941.931807546869,0.198900381830266,230765,145972
945.789948746314,0.198819994754259,245308,155200
949.643819587268,0.196923723160888,257792,163812
953.493420069731,0.196799948633891,269540,171326
957.338750193702,0.1958679947795,280807,178871
961.179809959184,0.194900512382685,291822,186302
965.016599366174,0.194297107408395,302163,193172
968.849118414673,0.1930588674924,312363,200263
973.952501032798,0.192343884103889,325375,208949
977.775055911486,0.190995034852573,335141,215890
981.593340431682,0.191170830539559,343857,221415
985.407354593388,0.190519318769454,351802,226871
989.217098396603,0.190088083033226,359293,231932
993.022571841327,0.1894516569817,365604,236352
996.823774927561,0.189155826768234,371107,240073
1000.6207076553,0.187938795099423,376683,244364
1004.41337002455,0.187762443602996,381430,247544
1008.20176203532,0.18719812944378,385105,250254
1013.24630860312,0.186163676166748,388363,252973
1017.02473644407,0.186018094594115,390696,254578
1020.79889392653,0.185417970384715,392463,256083
1024.5687810505,0.185250874397958,393844,257083
1028.33439781597,0.184840768765655,394236,257582
1032.09574422296,0.184412434583809,394355,257914
1035.85282027145,0.183536262995534,394813,258735
1039.60562596146,0.183309898836463,394682,258784
1043.35416129297,0.182749001867624,394791,259190
1048.34556562178,0.182221616320846,394178,259102
1052.08413678348,0.182017233705093,393842,259003
1055.81843758669,0.181651540765827,393667,259106
1059.54846803141,0.181066891250007,393629,259430
1063.27422811764,0.181367569549535,393809,259369
1066.99571784538,0.180401762334574,393319,259623
1070.71293721462,0.180986943684913,394177,259839
1074.42588622538,0.180036775542107,395135,261041
1078.13456487764,0.180127796718661,396426,261839
1081.83897317142,0.1800306103778,398187,263061
1086.77154144991,0.180006822423844,400428,264556
1090.46598557387,0.179121500308863,402626,266551
1094.15615933934,0.17945078519646,405087,267977
1097.84206274632,0.178868476246562,407334,269825
1101.52369579481,0.179396379789079,410872,271838
1105.20105848481,0.178831708405181,413656,274036
1108.87415081632,0.179314261699683,417649,276374
1112.54297278934,0.179453634556685,420953,278471
