***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.19,,,,,,System Temp (C):,41.41,,,,,,,
Humidity (%):,20.76,,,,,,Humidity (%):,20.67,,,,,,,
Lamp Indicator:,1114,,,,,,Lamp Indicator:,1126,,,,,,,
Data Date-Time:,2023/11/10T16:09:37,,,,,,Data Date-Time:,2023/11/10T16:07:27,,,,,,,
Total Measurement Time in sec:,6.712061,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 16min 59sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.581463716305106,87487,22934
905.716563509274,0.582114631959379,95049,24879
909.614561387966,0.575000876731771,102461,27262
913.508288908168,0.571284195041672,111813,30006
917.397746069878,0.569401577516618,122909,33127
921.282932873098,0.562262761245727,136329,37353
925.163849317827,0.556986376855199,152913,42409
929.040495404065,0.554254705698577,171464,47854
932.912871131812,0.550311981230352,190867,53755
938.069395988934,0.54481040412237,215471,61458
941.931807546869,0.540041143711447,231552,66774
945.789948746314,0.535241089275198,245997,71728
949.643819587268,0.532035883107443,258575,75954
953.493420069731,0.527359351071091,270429,80296
957.338750193702,0.523264352964562,281690,84432
961.179809959184,0.520923377327253,292739,88218
965.016599366174,0.515728668893276,302692,92315
968.849118414673,0.512349704100807,313077,96228
973.952501032798,0.507394057169943,326280,101437
977.775055911486,0.50402870616737,336072,105294
981.593340431682,0.500978742779454,344569,108717
985.407354593388,0.497213982065669,352611,112223
989.217098396603,0.493050481061701,360111,115714
993.022571841327,0.489144339670119,366167,118723
996.823774927561,0.486218095000493,371664,121320
1000.6207076553,0.483849246467677,377625,123940
1004.41337002455,0.47950226175748,382078,126663
1008.20176203532,0.477124633063,385659,128552
1013.24630860312,0.472119927696544,389120,131209
1017.02473644407,0.469221025218803,391395,132860
1020.79889392653,0.466302408344565,393075,134330
1024.5687810505,0.463115366871648,394198,135706
1028.33439781597,0.459398032569372,394758,137067
1032.09574422296,0.45728700973469,394830,137760
1035.85282027145,0.454845354322891,395361,138723
1039.60562596146,0.451299573881522,395072,139758
1043.35416129297,0.448291370440479,395287,140806
1048.34556562178,0.444047899833,394571,141931
1052.08413678348,0.4425246102699,394594,142438
1055.81843758669,0.439309277518549,394106,143319
1059.54846803141,0.437146280741953,394088,144028
1063.27422811764,0.434917821262469,394178,144802
1066.99571784538,0.432181024880778,393874,145605
1070.71293721462,0.429947113428471,394609,146629
1074.42588622538,0.427625385327456,395554,147768
1078.13456487764,0.425937745336495,397089,148919
1081.83897317142,0.422917275194999,398857,150626
1086.77154144991,0.420806378316902,400607,152024
1090.46598557387,0.418635076316334,403216,153781
1094.15615933934,0.416624561932288,405814,155490
1097.84206274632,0.413763900024471,407783,157277
1101.52369579481,0.412813056052171,411178,158934
1105.20105848481,0.410714562639615,414371,160944
1108.87415081632,0.409120516896443,418032,162963
1112.54297278934,0.407302984302359,421482,164997
