***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,31.19,,,,,,System Temp (C):,27.97,,,,,,,
Humidity (%):,58.17,,,,,,Humidity (%):,66.16,,,,,,,
Lamp Indicator:,1031,,,,,,Lamp Indicator:,1004,,,,,,,
Data Date-Time:,2023/11/10T11:32:14,,,,,,Data Date-Time:,2023/11/10T11:26:51,,,,,,,
Total Measurement Time in sec:,6.8935362,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,46min 58sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.134107255931156,83070,61001
905.716563509274,0.134822490113306,90499,66347
909.614561387966,0.135365234787551,98207,71908
913.508288908168,0.135030430220608,107710,78927
917.397746069878,0.134347854446224,119166,87459
921.282932873098,0.135425678531413,133960,98073
925.163849317827,0.133427676802023,151472,111405
929.040495404065,0.133663207323287,170669,125456
932.912871131812,0.132819091876918,189509,139576
938.069395988934,0.130871934476365,210876,156011
941.931807546869,0.12873474110182,224877,167190
945.789948746314,0.127281211583693,236775,176626
949.643819587268,0.127042133775731,247954,185067
953.493420069731,0.125980927355209,258255,193227
957.338750193702,0.125971270210872,268809,201128
961.179809959184,0.126131547522398,278671,208430
965.016599366174,0.126335865028026,288516,215692
968.849118414673,0.125420318054731,297762,223074
973.952501032798,0.125616745516946,310479,232496
977.775055911486,0.125718469347266,319807,239425
981.593340431682,0.126222713830685,328015,245285
985.407354593388,0.126253214118039,335526,250884
989.217098396603,0.125134952979052,342408,256690
993.022571841327,0.12561725951007,348464,260940
996.823774927561,0.125412178557199,353664,264959
1000.6207076553,0.125273350018862,358791,268886
1004.41337002455,0.124444961282119,363043,272592
1008.20176203532,0.123595320741628,365921,275291
1013.24630860312,0.123646193718324,369274,277781
1017.02473644407,0.122759774078845,371250,279838
1020.79889392653,0.122700429551451,372994,281191
1024.5687810505,0.122326149063849,374002,282194
1028.33439781597,0.121727317491214,374294,282804
1032.09574422296,0.121937576535989,374560,282868
1035.85282027145,0.121521408318794,374823,283338
1039.60562596146,0.120888281628664,374594,283578
1043.35416129297,0.120731255326385,374724,283779
1048.34556562178,0.120153407079183,373962,283579
1052.08413678348,0.120218110485568,374114,283652
1055.81843758669,0.120045926633519,373822,283543
1059.54846803141,0.120114365493843,373724,283424
1063.27422811764,0.119697938428671,373516,283538
1066.99571784538,0.119584026013036,373717,283765
1070.71293721462,0.119400548215108,374220,284267
1074.42588622538,0.118936224728113,375122,285257
1078.13456487764,0.119652960376036,376661,285955
1081.83897317142,0.118713750316868,378016,287605
1086.77154144991,0.118938999111728,380161,289087
1090.46598557387,0.119015721213789,382522,290831
1094.15615933934,0.119123589077489,384943,292599
1097.84206274632,0.118742103134506,387343,294682
1101.52369579481,0.119045918394372,389766,296318
1105.20105848481,0.118925366347664,393303,299090
1108.87415081632,0.119181334980851,396523,301361
1112.54297278934,0.119131254621945,399494,303654
1116.20752440387,0.119636142383433,403299,306190
1121.08695044336,0.120308579391754,408520,309674
1124.74153788807,0.120814739091182,412392,312245
1128.3918549743,0.120883009242417,417022,315701
1132.03790170203,0.121791666333892,421484,318412
1135.67967807127,0.122482656293691,426118,321401
1139.31718408202,0.122471707311841,430892,325010
1142.95041973428,0.12253349303184,435630,328537
