***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.11,,,,,,System Temp (C):,38.95,,,,,,,
Humidity (%):,29,,,,,,Humidity (%):,29.09,,,,,,,
Lamp Indicator:,1104,,,,,,Lamp Indicator:,1105,,,,,,,
Data Date-Time:,2023/11/10T13:27:45,,,,,,Data Date-Time:,2023/11/10T13:26:50,,,,,,,
Total Measurement Time in sec:,6.7924877,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,51min 10sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.160514769193006,87055,60156
905.716563509274,0.15870918308647,94440,65531
909.614561387966,0.160429232806277,102175,70618
913.508288908168,0.158696531321406,111438,77328
917.397746069878,0.157813033570678,122530,85198
921.282932873098,0.157857938250833,136470,94881
925.163849317827,0.156959375683757,153250,106768
929.040495404065,0.157222173428661,172209,119904
932.912871131812,0.156953955510763,191840,133655
938.069395988934,0.155711426956598,215268,150407
941.931807546869,0.156783819820621,231478,161334
945.789948746314,0.15611633077566,245421,171315
949.643819587268,0.155950846567099,257852,180061
953.493420069731,0.156457122348915,269489,187968
957.338750193702,0.156250610944324,280686,195871
961.179809959184,0.156225995421557,291387,203350
965.016599366174,0.15633601283471,301481,210341
968.849118414673,0.156149940655638,311607,217499
973.952501032798,0.15630655776336,324826,226644
977.775055911486,0.156770364324986,334704,233287
981.593340431682,0.156716923829732,343065,239144
985.407354593388,0.156328718249346,350888,244816
989.217098396603,0.156813211783322,358741,250016
993.022571841327,0.15660321179544,364888,254423
996.823774927561,0.156394743993423,370282,258308
1000.6207076553,0.156043647344416,376000,262509
1004.41337002455,0.155857720074198,380359,265666
1008.20176203532,0.155609855027139,384014,268372
1013.24630860312,0.154969276808617,387120,270942
1017.02473644407,0.155009910305137,389714,272732
1020.79889392653,0.154394371536457,391271,274210
1024.5687810505,0.154563623640132,392634,275058
1028.33439781597,0.15481313038141,393181,275283
1032.09574422296,0.154193203209972,393068,275597
1035.85282027145,0.154133707025891,393586,275998
1039.60562596146,0.153539501197375,393458,276286
1043.35416129297,0.153178723133248,393238,276361
1048.34556562178,0.152896236328906,392924,276320
1052.08413678348,0.152826409705783,392885,276337
1055.81843758669,0.153150045449754,392549,275895
1059.54846803141,0.152943389525801,392513,276001
1063.27422811764,0.152997188047724,392509,275964
1066.99571784538,0.152463129999631,392467,276274
1070.71293721462,0.15289566761367,393306,276589
1074.42588622538,0.152541700723583,394270,277493
1078.13456487764,0.152168687293342,395415,278538
1081.83897317142,0.152804204669943,397302,279458
1086.77154144991,0.152260192036386,399227,281164
1090.46598557387,0.152204767679636,401432,282753
1094.15615933934,0.152370404465342,404589,284868
1097.84206274632,0.152230886566065,406620,286390
1101.52369579481,0.152350316672981,409710,288487
1105.20105848481,0.152602415366307,413023,290651
1108.87415081632,0.152563963188988,416560,293166
1112.54297278934,0.152925455461164,419980,295327
1116.20752440387,0.152712030412042,423691,298083
1121.08695044336,0.15380045534395,429495,301410
1124.74153788807,0.153791753160965,433603,304299
1128.3918549743,0.154242864406348,438417,307358
1132.03790170203,0.154551763004012,443084,310409
1135.67967807127,0.154958337697517,447921,313504
1139.31718408202,0.155617698244184,452943,316538
1142.95041973428,0.155788184550485,458174,320068
1146.57938502805,0.156172791072758,463394,323428
1150.20407996333,0.156680702171362,468591,326673
1153.82450454012,0.157501928073052,474518,330180
1158.6450945293,0.158695855726447,482573,334863
1162.25555493627,0.159156944525759,488810,338831
1165.86174498476,0.160088588987636,495407,342668
1169.46366467475,0.160483275411817,502100,346982
1173.06131400625,0.160703502765842,509000,351572
1176.65469297927,0.160606312651997,516038,356513
1180.24380159379,0.161070709160157,522944,360898
1183.82863984982,0.161889368393241,531352,366010
1187.40920774736,0.162024149706145,539215,371311
1192.17665549754,0.162749554977628,549906,378041
1195.74725922527,0.162992038097354,557924,383339
1199.3135925945,0.16364432242425,566711,388792
1202.87565560525,0.163197444920237,574878,394801
1206.43344825751,0.163750584249128,583249,400040
1209.98697055127,0.163422171219314,592119,406431
1213.53622248654,0.163903103591945,601122,412154
1217.08120406333,0.163761533402882,609836,418265
1220.62191528162,0.163203298353796,617938,424367
1224.15835614142,0.162984392141673,626279,430312
1228.86696784128,0.162718869769215,637112,438023
1232.39344453127,0.162331841823062,645056,443880
1235.91565086277,0.162120287247191,652568,449268
1239.43358683578,0.162557922884233,659779,453775
1242.94725245029,0.162122872614494,666458,458828
1246.45664770632,0.161926709295791,673126,463628
1249.96177260386,0.161844400940785,678754,467593
1253.4626271429,0.161989700070535,684242,471216
1256.95921132345,0.162043124755524,689974,475105
1261.61468078432,0.16195101709406,699457,481737
1265.10130079506,0.161650046930506,706616,487005
1268.58365044731,0.161833493394687,713133,491289
