***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.47,,,,,,System Temp (C):,39.07,,,,,,,
Humidity (%):,23.96,,,,,,Humidity (%):,24.24,,,,,,,
Lamp Indicator:,1104,,,,,,Lamp Indicator:,1106,,,,,,,
Data Date-Time:,2023/11/13T11:22:29,,,,,,Data Date-Time:,2023/11/13T11:20:06,,,,,,,
Total Measurement Time in sec:,6.792482,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 52min 43sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.236221675012831,86699,50326
905.716563509274,0.23361977264056,93930,54851
909.614561387966,0.231101233651452,101474,59601
913.508288908168,0.229932883458646,110688,65188
917.397746069878,0.229150283330281,121882,71910
921.282932873098,0.227243781503063,135567,80336
925.163849317827,0.224130496322545,151968,90703
929.040495404065,0.222660105960002,170732,102248
932.912871131812,0.22216523756493,190352,114128
938.069395988934,0.218151434368691,213964,129476
941.931807546869,0.217727591182375,230182,139426
945.789948746314,0.215833575187065,244094,148499
949.643819587268,0.213678560957797,256337,156723
953.493420069731,0.211818526529757,267974,164541
957.338750193702,0.211120752615546,279451,171864
961.179809959184,0.208347976130543,289882,179421
965.016599366174,0.207159889073964,300235,186338
968.849118414673,0.206645337023279,310419,192887
973.952501032798,0.205163352645315,323392,201635
977.775055911486,0.203586601894631,333141,208469
981.593340431682,0.202527537764448,341421,214172
985.407354593388,0.201663486359251,349663,219779
989.217098396603,0.200985740381049,357119,224816
993.022571841327,0.199835134749306,363427,229394
996.823774927561,0.198518919509532,368770,233473
1000.6207076553,0.197980787922261,374308,237273
1004.41337002455,0.197425498735333,379103,240620
1008.20176203532,0.196436150798731,382384,243256
1013.24630860312,0.194949635368008,385951,246367
1017.02473644407,0.195274012832647,388464,247786
1020.79889392653,0.194249979424704,389964,249330
1024.5687810505,0.193382579357283,391212,250628
1028.33439781597,0.192819626820706,391533,251159
1032.09574422296,0.192858929592815,391821,251321
1035.85282027145,0.191903858560481,392211,252125
1039.60562596146,0.191263805169156,391986,252352
1043.35416129297,0.190650558155547,392134,252804
1048.34556562178,0.190316394001906,391603,252656
1052.08413678348,0.189913944466668,391375,252743
1055.81843758669,0.189689910344894,391314,252834
1059.54846803141,0.188855887610373,390883,253041
1063.27422811764,0.188602573300246,390899,253199
1066.99571784538,0.188169884424431,391139,253607
1070.71293721462,0.187804201761598,391494,254051
1074.42588622538,0.187941899465595,392560,254662
1078.13456487764,0.187436208807105,393803,255766
1081.83897317142,0.187399825908434,395676,257004
1086.77154144991,0.186936047407882,397679,258581
1090.46598557387,0.18638372391576,399754,260261
1094.15615933934,0.186518910644966,402578,262018
1097.84206274632,0.186568699388798,404946,263529
1101.52369579481,0.186445541835397,407922,265541
1105.20105848481,0.186276436672391,411163,267755
1108.87415081632,0.186059861570873,414505,270066
1112.54297278934,0.18584977348709,417836,272368
1116.20752440387,0.186140925792331,421954,274868
1121.08695044336,0.186331739044664,427163,278139
1124.74153788807,0.186018550352618,431255,281006
1128.3918549743,0.186687815872038,436376,283905
1132.03790170203,0.186613622266097,440815,286842
1135.67967807127,0.186828221098504,445604,289815
1139.31718408202,0.187354456069309,450704,292777
1142.95041973428,0.187361954105751,455912,296155
1146.57938502805,0.18756892328639,460967,299296
1150.20407996333,0.187841687022586,466310,302575
1153.82450454012,0.188476378719812,472079,305871
1158.6450945293,0.189024743812639,480141,310702
1162.25555493627,0.189087916654292,486050,314480
1165.86174498476,0.189518227258083,492335,318231
1169.46366467475,0.189968945041942,499151,322302
1173.06131400625,0.190105110806666,506062,326662
1176.65469297927,0.190166746697959,513179,331209
1180.24380159379,0.190839954424009,520426,335366
1183.82863984982,0.190473006669185,528246,340693
1187.40920774736,0.190459121446976,536031,345725
1192.17665549754,0.190716090651511,546623,352348
1195.74725922527,0.19055985063945,554548,357585
1199.3135925945,0.190562910878611,563556,363391
1202.87565560525,0.190465380907603,571371,368513
1206.43344825751,0.19093659675435,579943,373636
1209.98697055127,0.190717115745615,588966,379641
1213.53622248654,0.189906215448784,597231,385688
1217.08120406333,0.189785506025999,605827,391348
1220.62191528162,0.189410944586823,614551,397326
1224.15835614142,0.188723955726198,622731,403252
1228.86696784128,0.188228907973689,633376,410613
1232.39344453127,0.187773653224241,641363,416227
1235.91565086277,0.187555799879217,648762,421240
1239.43358683578,0.187255315051296,655907,426174
1242.94725245029,0.18668933388154,662529,431038
1246.45664770632,0.18643986700181,669324,435709
1249.96177260386,0.186157989422066,674903,439626
1253.4626271429,0.186078300144704,680446,443318
1256.95921132345,0.185483447627953,685655,447324
1261.61468078432,0.185379874227974,695132,453615
1265.10130079506,0.18546683658091,702449,458298
1268.58365044731,0.18538932503774,708950,462622
1272.06172974107,0.1851298915884,715342,467072
1275.53553867634,0.185157432867436,721154,470837
1279.00507725312,0.184997274557044,726253,474341
1282.4703454714,0.184877882378055,731452,477868
1285.9313433312,0.184713260546018,736120,481100
1289.38807083251,0.184536715355579,740088,483890
1292.84052797532,0.184603323574627,743833,486264
1297.43716138587,0.184653295430927,748857,489492
1300.87965435887,0.184541447278889,751977,491658
1304.31787697338,0.184252274457846,754379,493557
1307.7518292294,0.184396922153043,756647,494876
1311.18151112693,0.184510520816229,758723,496104
1314.60692266597,0.184665895414814,760555,497124
1318.02806384652,0.18463149463629,761714,497921
1321.44493466858,0.185100627183541,762695,498024
1324.85753513215,0.185158127786702,763329,498372
1329.4010263037,0.185504760387108,764032,498433
1332.80366259745,0.18609043030273,764073,497788
1336.20202853272,0.186861567884651,763904,496795
1339.59612410949,0.187184196272293,763413,496107
1342.98594932777,0.187853154009854,762426,494703
1346.37150418756,0.188110767044021,760428,493114
1349.75278868886,0.189307794015188,758746,490669
1353.12980283167,0.189777439225347,756200,488494
1356.50254661599,0.190768962126475,753778,485819
1359.87102004182,0.191085356723841,750840,483573
1364.35567516305,0.191906944621624,748004,480836
1367.71418441907,0.192252751623029,745771,479019
1371.06842331659,0.193025640182827,743180,476506
1374.41839185563,0.1935655823309,738525,472933
1377.76409003617,0.193885087874148,732230,468557
1381.10551785823,0.195314244014228,726420,463312
1384.44267532179,0.196340193517157,720596,458513
1387.77556242686,0.197329741477713,714838,453814
1391.10417917344,0.199132663023079,709650,448654
1395.53569205567,0.201953337806105,704050,442232
1398.85434463244,0.204322750450201,700114,437367
1402.16872685072,0.207364568865167,696941,432346
1405.47883871051,0.210421133480044,693701,427318
1408.7846802118,0.214201098795457,691009,421971
1412.08625135461,0.218062782999609,688358,416631
1415.38355213892,0.221067657690489,685684,412151
1418.67658256475,0.224449560230829,683952,407921
1421.96534263208,0.227306239402957,682351,404298
1425.24983234092,0.2301363106166,681043,400902
1429.62250917284,0.233121077044869,679168,397060
1432.89703471187,0.234414973500826,678338,395395
1436.16728989241,0.23549005231702,676841,393547
1439.43327471445,0.236440817694708,676144,392282
1442.69498917801,0.237354720105539,675468,391066
1445.95243328308,0.23733421674783,674291,390403
1449.20560702965,0.237945246195274,673215,389232
1452.45451041774,0.238002981133151,671118,387968
1455.69914344733,0.238539467930158,669095,386321
1460.01867804025,0.238550156469562,666148,384610
1463.25334690003,0.238573522624696,663991,383344
1466.48374540132,0.238548408176513,660835,381544
1469.70987354412,0.23815678683766,657507,379965
1472.93173132843,0.237882984793784,654547,378493
1476.14931875425,0.23744757329294,651120,376889
1479.36263582158,0.236799747530519,647486,375345
1482.57168253042,0.23689849948805,643682,373055
1485.77645888076,0.236695873181593,639660,370897
1488.97696487262,0.236089150782222,635791,369169
1493.23766341522,0.235501204601568,629367,365934
1496.42820523726,0.235113085790847,624667,363526
1499.61447670082,0.234376147338455,619695,361245
1502.79647780588,0.233347813711329,614170,358873
1505.97420855245,0.233025575641545,608750,355970
1509.14766894053,0.232065760772001,603258,353539
1512.31685897012,0.231040239213168,596781,350570
1515.48177864122,0.23035799088481,590266,347288
1518.64242795382,0.229232119329186,584164,344590
1522.84998425743,0.228701124691997,575069,339640
1526.00066940022,0.228097924023721,568473,336211
1529.14708418453,0.227557930644289,561390,332435
1532.28922861034,0.227426893786642,554066,328197
1535.42710267766,0.226785762668592,545995,323894
1538.5607063865,0.226655417367973,538246,319393
1541.69003973684,0.226114203965458,529766,314753
1544.81510272869,0.224930843256038,521424,310642
1547.93589536205,0.225048558075565,512890,305475
1551.05241763692,0.224867662890659,504196,300422
1555.2011378902,0.224106944029712,492526,293983
1558.30769599526,0.223433935123391,483801,289223
1561.40998374183,0.223572387305456,475306,284054
1564.5080011299,0.223309652485664,466321,278853
1567.60174815948,0.222948464925397,456705,273330
1570.69122483058,0.222897668470807,447289,267726
1573.77643114318,0.222525810098936,437590,262145
1576.85736709729,0.222231649909563,428169,256675
1579.93403269291,0.222509800835515,418812,250905
1584.0296107072,0.221692268357172,406057,243722
1587.09631213301,0.220915304085104,396595,238469
1590.15874320033,0.220446348651989,387505,233255
1593.21690390916,0.220128864603489,377937,227662
1596.27079425949,0.219884152403958,368851,222314
1599.32041425134,0.219292197547093,360036,217297
1602.36576388469,0.218268174739603,350862,212260
1605.40684315956,0.217981554174338,341707,206858
1608.44365207593,0.2172786433017,332463,201588
1611.47619063381,0.216505926524601,323308,196386
1615.51293259778,0.216116647186905,311628,189461
1618.53550698585,0.216124950084611,302862,184128
1621.55381101543,0.215701273167367,294431,179177
1624.56784468652,0.214908923282928,285657,174155
1627.57760799912,0.214978453271792,277387,169086
1630.58310095323,0.214263077258253,268576,163985
1633.58432354884,0.214697596933181,260323,158787
1636.58127578597,0.214903648306524,251878,153563
1639.5739576646,0.2143138974244,243243,148500
1643.55755738958,0.215126561508649,232774,141843
1646.5402750984,0.215348272081771,224396,136668
1649.51872244873,0.216328868689749,216713,131691
1652.49289944057,0.217398123744918,208725,126525
1655.46280607392,0.217871062966652,200847,121617
1658.42844234878,0.220183339316986,193123,116319
1661.38980826515,0.219978547877058,184834,111379
1664.34690382303,0.221287166263174,176465,106016
1667.29972902242,0.221309063129476,167277,100491
1670.24828386331,0.221528315332001,157612,94637
1674.17304753796,0.222737629874089,141835,84927
1677.11163820905,0.221279404787796,128320,77093
1680.04595852164,0.222831428472479,114447,68513
1682.97600847574,0.223058952083661,100142,59918
1685.90178807136,0.222822055612398,86512,51791
1688.82329730848,0.2244902057859,73992,44126
1691.74053618711,0.221436681324725,62504,37538
1694.65350470725,0.225102399380468,53056,31596
1697.56220286889,0.226061697051711,44922,26693
1701.43382430455,0.222868428020144,36103,21611
