***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.02,,,,,,System Temp (C):,41.22,,,,,,,
Humidity (%):,21.94,,,,,,Humidity (%):,22,,,,,,,
Lamp Indicator:,1115,,,,,,Lamp Indicator:,1123,,,,,,,
Data Date-Time:,2023/11/13T12:05:15,,,,,,Data Date-Time:,2023/11/13T11:59:04,,,,,,,
Total Measurement Time in sec:,6.8023672,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 58min 46sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.237393759215314,86555,50107
905.716563509274,0.232329310286841,93834,54958
909.614561387966,0.231203771283331,101578,59648
913.508288908168,0.228924955092648,110633,65307
917.397746069878,0.227870800609573,121515,71905
921.282932873098,0.224141995180942,134815,80463
925.163849317827,0.221957017476502,151111,90644
929.040495404065,0.219561531195405,169747,102386
932.912871131812,0.217429478104958,188964,114538
938.069395988934,0.214711414888388,212994,129914
941.931807546869,0.212182947359067,229407,140742
945.789948746314,0.211161507307591,243736,149885
949.643819587268,0.20971399327264,256429,158217
953.493420069731,0.207962697323696,267699,165838
957.338750193702,0.205828454024879,279356,173912
961.179809959184,0.205114326551889,290344,181050
965.016599366174,0.202849247194412,300178,188161
968.849118414673,0.20191402829466,310389,194981
973.952501032798,0.200597650569226,323573,203880
977.775055911486,0.199441005086884,333069,210423
981.593340431682,0.198696673900082,341861,216348
985.407354593388,0.197051727031839,349735,222171
989.217098396603,0.19632069031121,357325,227375
993.022571841327,0.194864640805271,363409,232023
996.823774927561,0.194099268838317,368909,235950
1000.6207076553,0.192921562355046,374409,240118
1004.41337002455,0.191959391996005,378934,243559
1008.20176203532,0.191994719747474,382752,245993
1013.24630860312,0.190370790595207,386070,249055
1017.02473644407,0.189371755726345,388423,251150
1020.79889392653,0.188967592797703,390126,252486
1024.5687810505,0.188964940428493,391763,253547
1028.33439781597,0.187993437360271,391919,254216
1032.09574422296,0.187776740504914,392138,254485
1035.85282027145,0.186322605929284,392171,255360
1039.60562596146,0.185929893944873,392105,255548
1043.35416129297,0.185977271216027,392602,255844
1048.34556562178,0.18430888233924,391381,256030
1052.08413678348,0.184587852738579,391530,255963
1055.81843758669,0.184171983436968,391331,256078
1059.54846803141,0.183461542346499,391056,256317
1063.27422811764,0.182881757307374,390967,256601
1066.99571784538,0.182313642832835,390920,256906
1070.71293721462,0.182271756553416,391675,257427
1074.42588622538,0.182173214335598,392511,258035
1078.13456487764,0.181705336000365,393734,259118
1081.83897317142,0.18161855530645,395685,260454
1086.77154144991,0.181162936157354,397759,262094
1090.46598557387,0.181047376712524,399929,263594
1094.15615933934,0.180910085129306,402513,265381
1097.84206274632,0.180742637208567,404720,266939
1101.52369579481,0.180141776236298,407452,269113
1105.20105848481,0.180364596103839,411021,271331
1108.87415081632,0.180098598927372,414598,273860
1112.54297278934,0.180188764258837,417923,275999
1116.20752440387,0.180317559553121,421717,278422
1121.08695044336,0.180138361764785,427254,282194
1124.74153788807,0.180324626364705,431480,284863
1128.3918549743,0.180986160218112,436220,287554
1132.03790170203,0.181301115414925,440942,290456
1135.67967807127,0.181523044712671,445642,293402
1139.31718408202,0.181961775723471,450716,296443
1142.95041973428,0.181981221209074,455845,299803
1146.57938502805,0.182820339632441,461370,302851
1150.20407996333,0.183118920023298,466590,306067
1153.82450454012,0.18359286725551,472386,309531
1158.6450945293,0.184224265884623,480281,314247
1162.25555493627,0.18461949959728,486412,317969
1165.86174498476,0.184763120702308,492674,321956
1169.46366467475,0.184714439784339,499446,326418
1173.06131400625,0.18516437255344,506121,330438
1176.65469297927,0.184765126786304,513093,335298
1180.24380159379,0.185916832596498,520536,339261
1183.82863984982,0.185613726102104,528342,344589
1187.40920774736,0.185746863288577,536145,349571
1192.17665549754,0.185862110965423,546635,356316
1195.74725922527,0.186008689869383,555079,361698
1199.3135925945,0.185667249593346,563549,367506
1202.87565560525,0.185496908642818,571636,372926
1206.43344825751,0.185251351980526,579967,378575
1209.98697055127,0.18484546316069,588760,384674
1213.53622248654,0.184653360333835,597278,390412
1217.08120406333,0.184021843481942,605909,396630
1220.62191528162,0.183810639909675,614446,402414
1224.15835614142,0.183439017232062,622656,408140
1228.86696784128,0.182676146727399,633145,415745
1232.39344453127,0.182275621929252,641094,421353
1235.91565086277,0.182053098353382,648643,426533
1239.43358683578,0.181581694782919,655556,431547
1242.94725245029,0.181117944594434,662125,436337
1246.45664770632,0.180804062489429,668769,441034
1249.96177260386,0.180552306233096,674357,444977
1253.4626271429,0.180099708760311,679577,448889
1256.95921132345,0.180125085880506,685597,452839
1261.61468078432,0.180142688526321,694694,458829
1265.10130079506,0.179818963544171,701856,463905
1268.58365044731,0.179966236201722,708337,468030
1272.06172974107,0.179481839443294,714763,472803
1275.53553867634,0.179491666982343,720719,476732
1279.00507725312,0.179277839555119,725393,480060
1282.4703454714,0.179348245469177,730850,483593
1285.9313433312,0.179242852040434,735491,486782
1289.38807083251,0.179097197482338,739395,489530
1292.84052797532,0.179011350776956,742926,491965
1297.43716138587,0.17882763774288,747898,495467
1300.87965435887,0.178952357830092,750959,497352
1304.31787697338,0.179088534592497,753738,499036
1307.7518292294,0.179033517526988,755935,500554
1311.18151112693,0.179102104636245,758024,501858
1314.60692266597,0.179158374280718,759654,502872
1318.02806384652,0.179370765957377,760677,503303
1321.44493466858,0.179702621759182,761986,503784
1324.85753513215,0.17996587301885,762389,503745
1329.4010263037,0.180648555054369,763170,503469
1332.80366259745,0.181590671654056,763290,502457
1336.20202853272,0.181837985297861,762752,501817
1339.59612410949,0.182496564497379,762165,500671
1342.98594932777,0.18317673297242,761129,499208
1346.37150418756,0.184248957702068,759385,496836
1349.75278868886,0.185068652124895,757734,494821
1353.12980283167,0.186395605772762,755010,491538
1356.50254661599,0.186892113890373,752712,489482
1359.87102004182,0.187920657959027,749686,486361
1364.35567516305,0.189264431922291,746964,483098
1367.71418441907,0.189714150131793,744746,481165
1371.06842331659,0.19056238172757,742052,478489
1374.41839185563,0.191578459358087,737549,474474
1377.76409003617,0.192593035508214,731401,469421
1381.10551785823,0.194004524590884,725455,464094
1384.44267532179,0.195336767125155,719452,458844
1387.77556242686,0.197533634815173,713831,452962
1391.10417917344,0.200072657057312,708821,447161
1395.53569205567,0.204179792994243,702932,439272
1398.85434463244,0.207747330310468,699177,433351
1402.16872685072,0.212281353835176,695738,426741
1405.47883871051,0.217127704277851,692717,420173
1408.7846802118,0.222353431528859,689973,413503
1412.08625135461,0.227668815934569,687360,406926
1415.38355213892,0.232854204127535,684874,400642
1418.67658256475,0.237929286273359,682931,394864
1421.96534263208,0.242130965335519,681551,390272
1425.24983234092,0.245554118907976,679798,386212
1429.62250917284,0.249921975559349,677737,381188
1432.89703471187,0.252321384456386,677437,378920
1436.16728989241,0.254065950512912,675687,376426
1439.43327471445,0.255385613834411,675093,374954
1442.69498917801,0.255948616779201,673955,373837
1445.95243328308,0.256558832398987,673137,372859
1449.20560702965,0.257244478675375,672311,371814
1452.45451041774,0.257478732406836,670121,370403
1455.69914344733,0.257458051165475,668119,369314
1460.01867804025,0.257609790085833,665171,367556
1463.25334690003,0.257347861764063,662851,366495
1466.48374540132,0.257201280378416,659758,364908
1469.70987354412,0.256411400714207,656518,363777
1472.93173132843,0.255784832623174,653445,362597
1476.14931875425,0.255321529150419,650273,361222
1479.36263582158,0.25396711072086,646380,360181
1482.57168253042,0.2532110099685,642658,358731
1485.77645888076,0.252136210962757,638573,357334
1488.97696487262,0.251667922657122,634527,355453
1493.23766341522,0.25087083904117,628287,352604
1496.42820523726,0.249775477415501,623482,350791
1499.61447670082,0.248717653495562,618389,348774
1502.79647780588,0.247691377437594,613137,346630
1505.97420855245,0.246540124211548,607615,344420
1509.14766894053,0.245530681518719,601776,341904
1512.31685897012,0.24443504126461,596134,339554
1515.48177864122,0.243593729663476,589473,336411
1518.64242795382,0.242245709442579,583349,333951
1522.84998425743,0.241211867273813,574364,329591
1526.00066940022,0.240151755155584,567818,326631
1529.14708418453,0.239484316462361,560864,323127
1532.28922861034,0.238737844816772,553098,319201
1535.42710267766,0.238343543903723,545448,315072
1538.5607063865,0.237554170060147,537217,310882
1541.69003973684,0.237192243154248,529131,306458
1544.81510272869,0.236414970193378,520691,302110
1547.93589536205,0.235723335252384,511940,297506
1551.05241763692,0.235524961882825,503452,292707
1555.2011378902,0.234992998739902,492123,286471
1558.30769599526,0.234417820484071,483374,281751
1561.40998374183,0.233632308372898,474325,276977
1564.5080011299,0.233876687244485,465538,271693
1567.60174815948,0.233625024949668,456360,266491
1570.69122483058,0.232885439733002,446557,261211
1573.77643114318,0.232541785173354,437263,255977
1576.85736709729,0.232303290332292,427860,250610
1579.93403269291,0.231476046304291,418161,245396
1584.0296107072,0.231595157994605,405717,238028
1587.09631213301,0.230939463244447,396146,232764
1590.15874320033,0.229762182946723,387103,228068
1593.21690390916,0.229366844695409,377363,222532
1596.27079425949,0.228661236974586,368844,217862
1599.32041425134,0.228020508586142,359425,212612
1602.36576388469,0.226860598063613,350274,207753
1605.40684315956,0.226360335791944,341186,202596
1608.44365207593,0.22582592088189,332274,197547
1611.47619063381,0.224495771375417,323105,192685
1615.51293259778,0.224328788552292,311368,185757
1618.53550698585,0.223884892932696,302731,180789
1621.55381101543,0.223945741602322,294244,175696
1624.56784468652,0.223330997779933,285573,170760
1627.57760799912,0.223604982632289,277192,165644
1630.58310095323,0.222723767366522,268452,160747
1633.58432354884,0.223513242178608,259936,155365
1636.58127578597,0.223515908983819,251604,150384
1639.5739576646,0.224214340152828,243672,145409
1643.55755738958,0.224634666418491,232708,138732
1646.5402750984,0.225519942456599,224767,133725
1649.51872244873,0.225944805889946,216785,128850
1652.49289944057,0.22658350499791,208799,123921
1655.46280607392,0.229610108181465,201365,118679
1658.42844234878,0.230343491856281,193583,113900
1661.38980826515,0.231624044927487,185814,109007
