***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.19,,,,,,System Temp (C):,41.95,,,,,,,
Humidity (%):,21.6,,,,,,Humidity (%):,21.69,,,,,,,
Lamp Indicator:,1129,,,,,,Lamp Indicator:,1130,,,,,,,
Data Date-Time:,2023/11/10T15:24:38,,,,,,Data Date-Time:,2023/11/10T15:22:04,,,,,,,
Total Measurement Time in sec:,6.724311,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 10min 36sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.81429527209,0.200831498996217,87044,54816
905.716563509274,0.197567685408212,94490,59954
909.614561387966,0.195378157713619,102180,65161
913.508288908168,0.195540902431938,111436,71037
917.397746069878,0.19446370408738,122508,78289
921.282932873098,0.190104835076119,135596,87527
925.163849317827,0.188736064319871,152112,98498
929.040495404065,0.187219135027461,170729,110940
932.912871131812,0.186158275863819,190193,123890
938.069395988934,0.183931636487036,214212,140253
941.931807546869,0.182212651793046,230599,151581
945.789948746314,0.180680321265702,244837,161509
949.643819587268,0.180140879230794,257616,170150
953.493420069731,0.17865245381599,269047,178310
957.338750193702,0.178397186247811,280520,186023
961.179809959184,0.17753473489018,291573,193737
965.016599366174,0.176596491202772,301893,201028
968.849118414673,0.175345419008798,311839,208250
973.952501032798,0.174616238377477,325090,217464
977.775055911486,0.174377609202197,334883,224138
981.593340431682,0.172699691948804,343306,230665
985.407354593388,0.172396177305153,351160,236107
989.217098396603,0.171836473702464,358806,241559
993.022571841327,0.170947996115399,365225,246384
996.823774927561,0.170114834102016,370480,250409
1000.6207076553,0.169702587030692,376505,254723
1004.41337002455,0.168099410826769,380702,258515
1008.20176203532,0.167419113963817,384376,261419
1013.24630860312,0.166243090700355,387394,264186
1017.02473644407,0.166004715865509,390051,266144
1020.79889392653,0.165119813376311,391878,267936
1024.5687810505,0.164680378191974,393254,269149
1028.33439781597,0.163762408571132,393523,269903
1032.09574422296,0.163354807416012,393770,270326
1035.85282027145,0.16229970202651,393977,271126
1039.60562596146,0.162295793834407,394065,271189
1043.35416129297,0.161604806360173,393955,271545
1048.34556562178,0.160333656880179,393226,271837
1052.08413678348,0.160010453610541,393211,272029
1055.81843758669,0.15968156587559,393000,272089
1059.54846803141,0.158972956123491,392665,272301
1063.27422811764,0.158307897621411,392630,272694
1066.99571784538,0.157813178738825,392718,273066
1070.71293721462,0.157686711622071,393462,273663
1074.42588622538,0.157243881534037,394414,274605
1078.13456487764,0.15692749189439,395773,275752
1081.83897317142,0.156433111535705,397714,277420
1086.77154144991,0.156190801703808,399607,278896
1090.46598557387,0.155462118181435,401868,280945
1094.15615933934,0.15455278497778,404419,283321
1097.84206274632,0.154888235768048,406850,284804
1101.52369579481,0.154532846796013,409783,287092
1105.20105848481,0.154264723227912,413092,289589
1108.87415081632,0.153791456228774,416971,292627
1112.54297278934,0.153916596188815,420120,294752
